rank,name,streamers,viewers
1,Minecraft,29,3102
2,League of Legends,70,2083
3,Apex Legends,148,1905
4,MapleStory,8,1898
5,ARC Raiders,56,1654
6,VALORANT,115,1310
7,Escape from Tarkov,67,1289
8,ASMR,19,1190
9,Overwatch 2,43,896
10,Blue Protocol: Star Resonance,37,855
11,Core Keeper,1,780
12,Teamfight Tactics,19,707
13,Grand Theft Auto V,23,678
14,Yu-Gi-Oh! Master Duel,5,656
15,Just Chatting,56,633
16,Dead by Daylight,30,578
17,Hearthstone,5,454
18,Ghost of Yōtei,2,410
19,FINAL FANTASY XIV ONLINE,26,399
20,Art,19,372
21,Street Fighter 6,21,361
22,MICROVOLTS: Recharged,1,322
23,Monster Hunter Wilds,34,319
24,Path of Exile 2,19,311
25,Rust,9,259
26,ELDEN RING NIGHTREIGN,16,245
27,Always On,4,234
28,Backpack Battles,4,219
29,Resident Evil 3: Nemesis,1,206
30,Honkai: Star Rail,8,190
31,"Animals, Aquariums, and Zoos",4,173
32,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,157
33,Cult of the Lamb,1,146
34,Retro,4,121
35, SEKIRO: SHADOWS DIE TWICE,1,120
36,Wuthering Waves,5,112
37,FINAL FANTASY VIII Remastered,2,107
38,Slay the Spire,1,107
39,Kirby Air Riders,2,84
40,Genshin Impact,12,81
41,Strinova,3,70
42,Marvel Rivals,9,70
43,Mahjong Soul,5,58
44,Japan Stigmatized Property,4,55
45,Delta Force,3,54
46,Shadowverse: Worlds Beyond,7,53
47,Pokémon Legends: Z-A,4,49
48,World of Tanks,1,46
49,BALL x PIT,2,45
50,R.E.P.O.,6,44
