rank,name,streamers,viewers
1,ARC Raiders,66,3691
2,Just Chatting,77,3668
3,PowerWash Simulator 2,1,3481
4,Escape from Tarkov,92,2381
5,League of Legends,84,2057
6,Apex Legends,222,2009
7,Street Fighter 6,58,1899
8,Teamfight Tactics,24,1839
9,VALORANT,153,1810
10,Blue Protocol: Star Resonance,124,1740
11,Monster Hunter Wilds,68,1471
12,Overwatch 2,67,1441
13,Dead by Daylight,58,580
14,ELDEN RING NIGHTREIGN,34,568
15,FINAL FANTASY XIV ONLINE,43,510
16,Path of Exile 2,17,452
17,Art,26,385
18,IRL,4,331
19,Grand Theft Auto V,20,288
20,Honkai: Star Rail,9,262
21,7 Days to Die,16,255
22,Shadowverse: Worlds Beyond,4,213
23,Hearthstone,3,203
24,Dark and Darker,3,183
25,Alien: Isolation,1,174
26,Always On,4,153
27,ASMR,17,151
28,"Animals, Aquariums, and Zoos",5,148
29,Retro,4,147
30,Pokémon Legends: Z-A,17,141
31,Eternal Return,6,124
32,Splatoon 3,15,122
33,The Legend of Zelda: A Link Between Worlds,1,121
34,OCTOPATH TRAVELER 0,6,115
35,Fortnite,25,106
36,Genshin Impact,16,98
37,Suika Game,4,85
38,R.E.P.O.,12,80
39,Minecraft,24,80
40,Marvel Rivals,8,77
41,Beautiful Katamari,1,73
42,VRChat,7,70
43,Linda³ Kanzenban,1,68
44,Super Mario World,1,66
45,Ōkami HD,1,65
46,SILENT HILL ƒ,2,64
47,Warframe,11,61
48,ELDEN RING,10,56
49,Duet Night Abyss,2,55
50,Call of Duty: Black Ops 7,6,54
