rank,name,streamers,viewers
1,Escape from Tarkov,102,13978
2,VALORANT,187,3667
3,Apex Legends,327,3271
4,Dragon Quest I & II HD-2D Remake,6,3055
5,League of Legends,82,2721
6,ARC Raiders,90,2465
7,Just Chatting,93,2163
8,ELDEN RING NIGHTREIGN,33,1815
9,ASMR,18,1408
10,FINAL FANTASY XIV ONLINE,91,1329
11,Street Fighter 6,44,1132
12,Grand Theft Auto V,48,1107
13,Clair Obscur: Expedition 33,2,821
14,Overwatch 2,69,701
15,Teamfight Tactics,17,662
16,Monster Hunter Wilds,74,656
17,Hearthstone,2,633
18,OCTOPATH TRAVELER 0,5,490
19,Rhythm Doctor,1,403
20,Raft,2,378
21,Music,7,342
22,Dead by Daylight,36,321
23,Art,16,289
24,World of Tanks,5,261
25,Dark Souls: Remastered,3,225
26,Black Desert,4,211
27,Pokémon Legends: Z-A,16,208
28,Minecraft,35,163
29,Marvel Rivals,13,143
30,Wuthering Waves,8,136
31,Retro,2,132
32,EA Sports FC 26,2,127
33,"Animals, Aquariums, and Zoos",4,126
34,Special Events,1,123
35,FINAL FANTASY VIII Remastered,1,123
36,R.E.P.O.,14,122
37,Jinro Metropolis,2,119
38,INAZUMA ELEVEN: Victory Road,5,113
39,Fushigi no Dungeon: Fuurai no Shiren 2 - Oni Shuurai! Shiren-jou!,1,107
40,Pokémon Red/Blue,1,105
41,Always On,4,104
42,Strinova,3,99
43,Shadowverse: Worlds Beyond,10,91
44,Genshin Impact,17,90
45,Mario Kart World,3,81
46,Kirby Air Riders,1,78
47,Mahou Shoujo no Majo Saiban,3,74
48,PUBG: BATTLEGROUNDS,8,73
49,Delta Force,9,72
50,PokéPark 2: Wonders Beyond,1,69
