rank,name,streamers,viewers
1,ARC Raiders,3,2163
2,Pokémon Legends: Z-A,3,1710
3,League of Legends,7,1636
4,ASMR,5,1230
5,Mamon King,4,931
6,Hearthstone,1,713
7,Teamfight Tactics,3,659
8,Escape from Tarkov,9,653
9,Just Chatting,8,559
10,Detroit: Become Human,1,453
11,Overwatch 2,5,423
12,VALORANT,5,392
13,Grand Theft Auto V,1,361
14,Always On,3,199
15,Flotsam,1,199
16,SUPER GHOULS'N GHOSTS,1,191
17,Hatsune Miku: Project DIVA Mega Mix+,1,188
18,Retro,2,174
19,FINAL FANTASY VIII Remastered,1,169
20,Dead by Daylight,2,166
21,Apex Legends,1,158
22,Palworld,1,157
23,Rust,2,157
24,ELDEN RING NIGHTREIGN,1,132
25,FINAL FANTASY XIV ONLINE,2,119
26,Cities: Skylines II,1,114
27,"Animals, Aquariums, and Zoos",1,113
28,Street Fighter 6,1,111
29,IRL,1,106
30,Eternal Return,1,96
31,Counter-Strike,1,90
32,Marvel Rivals,1,78
33,Honkai: Star Rail,1,72
34,Wuthering Waves,1,68
35,Path of Exile 2,1,58
36, SEKIRO: SHADOWS DIE TWICE,1,57
37,Animal Crossing: New Horizons,1,52
38,ELDEN RING,1,52
39,Sakuna: Of Rice and Ruin,1,51
40,Terraria,1,49
41,Zenless Zone Zero,1,48
42,Art,1,41
43,TEKKEN 8,1,41
44,RimWorld,1,37
45,Genshin Impact,1,34
46,Path of Exile,1,33
