rank,name,streamers,viewers
1,Escape from Tarkov,168,16012
2,Mamon King,19,15673
3,Shadowverse: Worlds Beyond,14,13581
4,Street Fighter 6,85,12330
5,League of Legends,123,9735
6,Dead by Daylight,72,4213
7,ARC Raiders,98,3857
8,Overwatch 2,148,3704
9,Minecraft,45,3499
10,Just Chatting,88,3287
11,VALORANT,233,3160
12,Apex Legends,268,2676
13,Eternal Return,8,2657
14,Fallout: New Vegas,1,2023
15,Black Desert,20,1441
16,Path of Exile 2,52,1365
17,FINAL FANTASY XIV ONLINE,44,946
18,Teamfight Tactics,27,682
19,ELDEN RING NIGHTREIGN,41,642
20,Art,37,606
21,Genshin Impact,31,534
22,Pokémon Legends: Z-A,46,473
23,Retro,15,453
24,Rudra no Hihou,1,443
25,Splatoon 3,45,417
26,Zenless Zone Zero,8,396
27,Grand Theft Auto V,33,390
28,DJs,5,375
29, SEKIRO: SHADOWS DIE TWICE,1,371
30,Tom Clancy's Rainbow Six Siege X,14,363
31,PUBG: Black Budget,6,346
32,Hearthstone,3,317
33,World of Tanks,13,281
34,Clock Tower II: The Struggle Within,1,277
35,Animal Crossing: New Horizons,6,257
36,Marvel Rivals,14,240
37,Strinova,9,229
38,Monster Hunter Wilds,35,219
39,7 Days to Die,15,216
40,Magic: The Gathering,2,215
41,ASMR,9,206
42,Fortnite,25,192
43,Diablo IV,10,191
44,Jinro Metropolis,4,168
45,Music,17,163
46,"Animals, Aquariums, and Zoos",4,160
47,The Legend of Zelda: The Wind Waker,3,160
48,Rust,11,145
49,Always On,3,145
50,Delta Force,13,140
