rank,name,game_id,streamers,viewers
1,Just Chatting,509658,500,305314
2,Minecraft,27471,500,172627
3,League of Legends,21779,500,124443
4,Dota 2,29595,500,103844
5,Rust,263490,489,89744
6,Grand Theft Auto V,32982,500,77372
7,Fortnite,33214,500,72114
8,ARC Raiders,464339927,500,71915
9,World of Tanks,27546,401,73487
10,Battlefield REDSEC,1848745913,472,70921
11,Counter-Strike,32399,500,56018
12,PUBG: BATTLEGROUNDS,493057,500,56848
13,Pokémon Community Game,329951934,82,49669
14,World of Warcraft,18122,500,42758
15,MARVEL Contest of Champions,461221,35,44044
16,Overwatch 2,515025,500,37992
17,Escape from Tarkov,491931,500,37887
18,VALORANT,516575,500,29416
19,Mamon King,245885780,44,35264
20,Path of Exile 2,1702520304,187,34789
21,Warframe,66170,500,31422
22,Dead by Daylight,491487,500,28105
23,Arena Breakout: Infinite,401587136,475,33492
24,EA Sports FC 26,624536948,500,28189
25,Rocket League,30921,500,28647
26,Teamfight Tactics,513143,500,27154
27,Slots,498566,140,26052
28,Call of Duty: Warzone,512710,500,20538
29,IRL,509672,476,21857
30,Pokémon Legends: Z-A,997367275,500,21356
31,Apex Legends,511224,500,19086
32,R.E.P.O.,1294658629,334,19004
33,Where Winds Meet,1630982727,500,18144
34,Virtual Casino,29452,36,18205
35,Clash Royale,491168,154,16457
36,RV There Yet?,1517377137,118,15876
37,Marvel Rivals,1264310518,500,14760
38,Dispatch,602959317,171,14552
39,FINAL FANTASY XIV ONLINE,24241,442,12409
40,Hearthstone,138585,169,14048
41,Call of Duty: Black Ops 7,2012789438,500,12544
42,MineMogul,1505902948,8,12963
43,Sports,518203,174,11623
44,Art,509660,500,10810
45,ASMR,509659,147,11638
46,DJs,1669431183,324,10695
47,Baldur's Gate 3,512923,221,10611
48,Genshin Impact,513181,500,10007
49,Palia,982017546,209,8990
50,Special Events,509663,123,6969
