rank,name,streamers,viewers
1,Call of Duty: Black Ops 7,14,16288
2,Street Fighter 6,73,8123
3,Escape from Tarkov,126,5820
4,League of Legends,109,4286
5,Minecraft,50,3798
6,Mamon King,5,3760
7,ARC Raiders,90,3146
8,Apex Legends,281,2721
9,VALORANT,226,2396
10,Teamfight Tactics,37,2162
11,ELDEN RING NIGHTREIGN,51,1894
12,Grand Theft Auto V,93,1737
13,ASMR,21,1573
14,Overwatch 2,88,1300
15,MapleStory,5,1299
16,Blue Protocol: Star Resonance,59,993
17,Animal Crossing: New Horizons,5,989
18,Just Chatting,89,900
19,Dead by Daylight,62,834
20,FINAL FANTASY XIV ONLINE,58,723
21,Core Keeper,1,720
22,Honkai: Star Rail,10,580
23,Monster Hunter Wilds,78,550
24,Hearthstone,6,549
25,PUBG: BATTLEGROUNDS,8,536
26,EA Sports FC 26,3,430
27,Art,20,422
28,Yu-Gi-Oh! Master Duel,5,315
29,Shadowverse: Worlds Beyond,12,279
30,Food & Drink,2,267
31,Rust,13,232
32,Backpack Battles,2,208
33,Path of Exile 2,18,192
34,Retro,5,185
35,DJs,4,183
36,No Man's Sky,4,174
37,Cult of the Lamb,1,173
38,World of Tanks,5,173
39,Jinro Metropolis,2,168
40,Genshin Impact,27,158
41,Black Desert,7,156
42,Slay the Spire,2,150
43,"Animals, Aquariums, and Zoos",3,150
44,Japan Stigmatized Property,9,149
45,Zenless Zone Zero,7,138
46,INAZUMA ELEVEN: Victory Road,18,136
47,Kirby Air Riders,2,126
48,Getting Over It with Bennett Foddy,1,120
49,Night Swarm,1,116
50,Pokémon Legends: Z-A,26,115
