rank,name,streamers,viewers
1,Just Chatting,173,31771
2,VALORANT,293,24115
3,Street Fighter 6,78,16781
4,Escape from Tarkov,121,11903
5,Dragon Quest Monsters: Terry no Wonderland SP,1,11085
6,Rhythm Doctor,2,8513
7,League of Legends,110,7440
8,Overwatch 2,114,6155
9,ASMR,16,5611
10,Teamfight Tactics,25,5610
11,ARC Raiders,96,5132
12,Pokémon Legends: Z-A,41,3993
13,Apex Legends,297,3734
14,Agreeee,4,3186
15,Path of Exile 2,20,2748
16,DJs,11,2336
17,ARK: Survival Ascended,19,1810
18,Genshin Impact,22,1639
19,Hearthstone,5,1484
20,FINAL FANTASY XIV ONLINE,80,1395
21,Dead by Daylight,81,1366
22,Minecraft,34,1261
23,Amagami,1,1197
24,SILENT HILL ƒ,8,1157
25,ELDEN RING NIGHTREIGN,38,1053
26,Hogwarts Legacy,5,958
27,Art,41,952
28,Resident Evil Zero,1,862
29,Mamon King,9,828
30,Grand Theft Auto V,51,695
31,Black Desert,12,617
32,Deviation Game,2,485
33,Chillquarium,1,472
34, SEKIRO: SHADOWS DIE TWICE,4,458
35,"Warhammer 40,000: Darktide",3,447
36,Kirby Air Riders,6,446
37,Identity V,4,438
38,ZAKO NO AHIRU,1,436
39,Super Mario Maker 2,2,392
40,Magic: The Gathering,3,377
41,Shadowverse: Worlds Beyond,12,333
42,Marvel Rivals,27,327
43,Dark and Darker,5,312
44,Monster Hunter Wilds,35,307
45,Phasmophobia,10,297
46,PUBG: BATTLEGROUNDS,16,279
47,Dragon Quest I & II HD-2D Remake,16,269
48,My Little Puppy,1,267
49,R.E.P.O.,31,265
50,World of Tanks,12,258
