rank,name,streamers,viewers
1,Street Fighter 6,89,53754
2,Escape from Tarkov,122,15035
3,Call of Duty: Black Ops 7,15,11643
4,Just Chatting,116,8822
5,Suika Game Planet,3,6420
6,Cursed Companions,7,5720
7,League of Legends,122,5119
8,Dead by Daylight,56,3943
9,Animal Crossing: New Horizons,9,3632
10,MapleStory,6,3232
11,Apex Legends,248,2989
12,VALORANT,212,2979
13,Eternal Return,14,2575
14,ARC Raiders,93,2524
15,Overwatch 2,127,2396
16,Teamfight Tactics,36,2062
17,Special Events,4,1832
18,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,5,1686
19,Monster Hunter Wilds,84,1272
20,Hearthstone,3,1055
21,Genshin Impact,31,1032
22,FINAL FANTASY XIV ONLINE,52,1009
23,Black Desert,17,984
24,DJs,9,922
25,Blue Protocol: Star Resonance,50,737
26,Shenmue III,1,710
27,ELDEN RING NIGHTREIGN,30,550
28,Art,23,526
29,Snowbreak: Containment Zone,1,523
30,Deviation Game,1,499
31,Path of Exile 2,20,443
32,Pokémon Legends: Z-A,18,416
33,Music,25,414
34,Retro,8,368
35,Amagami,11,367
36,Shadowverse: Worlds Beyond,10,365
37,Resident Evil 2,3,360
38,Pawafuru Puroyakyu 2024-2025,2,345
39,Stardew Valley,2,341
40,Minecraft,41,331
41,"Animals, Aquariums, and Zoos",4,328
42,Grand Theft Auto V,63,302
43,EA Sports FC 26,4,290
44,World of Tanks,9,279
45,ARK: Survival Ascended,28,275
46,Taiko no Tatsujin: Rhythm Festival,1,265
47,Tom Clancy's The Division 2,8,242
48,Fortnite,39,230
49,Tom Clancy's Rainbow Six Siege X,28,225
50,Rust,21,217
