rank,name,streamers,viewers
1,Grand Theft Auto V,169,111491
2,League of Legends,160,41065
3,Just Chatting,210,13540
4,Dragon Quest Monsters: Terry no Wonderland SP,1,10247
5,Apex Legends,235,9845
6,Street Fighter 6,82,7326
7,Clubhouse Games: 51 Worldwide Classics,1,5670
8,Dead by Daylight,82,5114
9,VALORANT,196,3780
10,Overwatch 2,105,3697
11,ELDEN RING NIGHTREIGN,39,2662
12,Escape from Tarkov,103,2497
13,Shadowverse: Worlds Beyond,11,1904
14,Dragon Quest I & II HD-2D Remake,6,1815
15,Teamfight Tactics,15,1734
16,Minecraft,50,1485
17,ASMR,6,1363
18,Jinro Metropolis,6,1266
19,Chocobo no Fushigi na Dungeon,2,1161
20,Black Desert,7,1128
21,Amagami,1,1123
22,FINAL FANTASY XIV ONLINE,63,1117
23,Blue Protocol: Star Resonance,37,1018
24,Lethal Dungeon,1,965
25,Monster Hunter Wilds,74,888
26,ARC Raiders,58,740
27,Path of Exile 2,11,722
28,Art,31,642
29,Pokémon Legends: Z-A,22,530
30,Super Smash Bros. Ultimate,9,519
31,World of Warships,2,508
32,Rhythm Doctor,1,499
33,Mario Kart World,5,491
34,R.E.P.O.,36,445
35,DJs,9,436
36,HATSUNE MIKU: COLORFUL STAGE!,1,411
37,Retro,11,377
38,Rust,14,358
39,Dark and Darker,9,348
40,World of Tanks,12,319
41,Japan Stigmatized Property,19,309
42,Marvel Rivals,19,296
43,Kirby Air Riders,5,260
44,SHINOBI: Art of Vengeance,2,254
45,Mahjong Soul,16,242
46,Little Nightmares,1,228
47,Pomegranate Housing Complex,2,222
48,Splatoon 3,24,212
49,Fortnite,19,207
50,Hearthstone,1,200
