rank,name,streamers,viewers
1,Minecraft,71,27801
2,Street Fighter 6,76,26441
3,VALORANT,258,20268
4,Escape from Tarkov,76,13588
5,League of Legends,198,12308
6,Dragon Quest Monsters: Terry no Wonderland SP,1,11602
7,Teamfight Tactics,17,9973
8,Just Chatting,176,7748
9,Shadowverse: Worlds Beyond,12,4969
10,Apex Legends,277,3759
11,Mamon King,1,3499
12,PUBG: BATTLEGROUNDS,14,2737
13,ELDEN RING NIGHTREIGN,40,2575
14,Overwatch 2,99,2267
15,ARC Raiders,62,2180
16,Path of Exile 2,26,2029
17,Pokémon Legends: Z-A,34,1931
18,Jinro Metropolis,3,1916
19,Black Desert,16,1913
20,SILENT HILL ƒ,8,1434
21,FINAL FANTASY XIV ONLINE,79,1248
22,Music,17,1072
23,Agreeee,8,1031
24,Hogwarts Legacy,12,1017
25,Dead by Daylight,69,989
26,Resident Evil Zero,1,896
27,R.E.P.O.,44,770
28,Genshin Impact,24,750
29,Grand Theft Auto V,42,681
30,Dispatch,1,609
31,Hearthstone,4,595
32, SEKIRO: SHADOWS DIE TWICE,5,522
33,Art,30,519
34,Mamon King,5,505
35,7 Days to Die,5,471
36,Lightyear Frontier,1,463
37,Rust,22,460
38,Tom Clancy's Rainbow Six Siege X,20,433
39,Super Smash Bros. Ultimate,5,425
40,Dragon Quest III: The Seeds of Salvation,1,386
41,Splatoon 3,34,374
42,Monster Hunter Wilds,37,357
43,VRChat,13,325
44,FINAL FANTASY VIII Remastered,3,313
45,DJs,4,312
46,Special Events,4,301
47,Fortnite,26,290
48,Magic: The Gathering,1,286
49,Yakuza Kiwami,1,267
50,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,5,262
