rank,name,streamers,viewers
1,Just Chatting,59,2992
2,MapleStory,2,2053
3,League of Legends,56,1925
4,Escape from Tarkov,64,1454
5,VALORANT,70,1452
6,ARC Raiders,39,1014
7,Apex Legends,99,898
8,Overwatch 2,38,628
9,Teamfight Tactics,16,575
10,Grand Theft Auto V,8,571
11,ASMR,18,560
12,SUPER GHOULS'N GHOSTS,2,554
13,Hearthstone,4,539
14,Rust,11,504
15,Blue Protocol: Star Resonance,34,335
16,Street Fighter 6,19,313
17,FINAL FANTASY XIV ONLINE,24,305
18,ELDEN RING NIGHTREIGN,20,293
19,Art,15,261
20,Monster Hunter Wilds,26,215
21,IRL,4,196
22,Always On,4,172
23,Cult of the Lamb,1,169
24,Backpack Battles,1,168
25,Dead by Daylight,22,155
26,"Animals, Aquariums, and Zoos",6,136
27,Retro,6,136
28,Resident Evil 3: Nemesis,1,134
29,Shadowverse: Worlds Beyond,6,131
30,Japan Stigmatized Property,3,122
31,Metaphor: ReFantazio,1,115
32,Zenless Zone Zero,5,102
33,Strinova,3,98
34,Honkai: Star Rail,5,97
35,Slay the Spire,2,92
36,Genshin Impact,13,91
37,Minecraft,14,83
38,Fortnite,14,83
39,FINAL FANTASY VIII Remastered,1,82
40,Dark and Darker,3,81
41,Path of Exile 2,14,69
42,"No, I'm Not A Human",1,67
43,Diddy Kong Racing,1,67
44,Pokémon Legends: Z-A,7,55
45,Beat Saber,2,51
46,Delta Force,4,49
47,Wuthering Waves,6,47
48,7 Days to Die,4,38
49,OCTOPATH TRAVELER 0,5,37
50,Eternal Return,4,36
