rank,name,streamers,viewers
1,Shadowverse: Worlds Beyond,24,30335
2,League of Legends,281,20548
3,Minecraft,49,15729
4,Escape from Tarkov,148,14447
5,Mamon King,23,13012
6,Street Fighter 6,74,12103
7,VALORANT,220,5156
8,Dead by Daylight,53,4225
9,Overwatch 2,162,3903
10,Just Chatting,89,2852
11,ARC Raiders,90,2604
12,Path of Exile 2,52,2437
13,Apex Legends,249,2227
14,Fallout: New Vegas,1,1875
15,Black Desert,18,1483
16,Eternal Return,7,1382
17,Teamfight Tactics,23,1203
18,FINAL FANTASY XIV ONLINE,46,771
19,Hogwarts Legacy,15,762
20,ELDEN RING NIGHTREIGN,37,719
21,Retro,16,546
22,Overcooked! 2,4,524
23,Zenless Zone Zero,9,437
24,Pokémon Legends: Z-A,45,414
25,Genshin Impact,30,409
26,Splatoon 3,45,400
27,PUBG: Black Budget,6,376
28,Clock Tower II: The Struggle Within,1,368
29, SEKIRO: SHADOWS DIE TWICE,2,364
30,Grand Theft Auto V,34,363
31,Art,26,363
32,DJs,6,305
33,Chrono Trigger,1,293
34,Hearthstone,3,287
35,ASMR,17,280
36,Dragon Quest III: The Seeds of Salvation,1,263
37,ARK: Survival Ascended,17,246
38,World of Tanks,4,245
39,Rust,19,238
40,Strinova,12,232
41,Jinro Metropolis,1,224
42,7 Days to Die,7,221
43,Diablo IV,7,218
44,Marvel Rivals,13,217
45,Special Events,4,212
46,Monster Hunter Wilds,34,203
47,"Animals, Aquariums, and Zoos",4,202
48,Dark and Darker,4,200
49,Beat Saber,5,198
50,SILENT HILL ƒ,9,172
