rank,name,streamers,viewers
1,Escape from Tarkov,170,31978
2,Apex Legends,350,6822
3,Mamon King,2,4508
4,Mamon King,2,4249
5,Street Fighter 6,66,3862
6,VALORANT,240,3440
7,League of Legends,99,3362
8,ARC Raiders,100,3018
9,Just Chatting,110,2790
10,Jinro Metropolis,2,2292
11,DON'T SCREAM TOGETHER,2,1970
12,Persona 5 Royal,8,1620
13,ASMR,15,1512
14,Overwatch 2,81,1287
15,Minecraft,42,1039
16,Grand Theft Auto V,116,988
17,Hearthstone,3,940
18,Teamfight Tactics,28,870
19,R.E.P.O.,18,656
20,FINAL FANTASY XIV ONLINE,45,605
21,Dead by Daylight,66,532
22,Super Smash Bros. Ultimate,5,472
23,Blue Protocol: Star Resonance,27,460
24,ICARUS,1,430
25,ELDEN RING NIGHTREIGN,46,420
26,Art,23,383
27,Full Metal Schoolgirl,1,379
28,Animal Crossing: New Horizons,1,360
29,Dark and Darker,13,333
30,Monster Hunter Wilds,58,311
31,Detroit: Become Human,3,292
32,Rust,35,288
33,Marvel Rivals,16,259
34,Black Desert,5,251
35,Eternal Return,6,244
36,EA Sports FC 26,6,226
37,Pokémon Legends: Z-A,14,214
38,Linda³ Again,1,173
39,World of Tanks,2,164
40,Genshin Impact,30,161
41,Fushigi no Dungeon: Fuurai no Shiren 2 - Oni Shuurai! Shiren-jou!,1,157
42,7 Days to Die,10,152
43,Retro,8,147
44,Dark Souls: Remastered,5,146
45,"Animals, Aquariums, and Zoos",4,133
46,FINAL FANTASY VIII Remastered,1,131
47,Kirby Air Riders,4,130
48,Momotaro Dentetsu World: Chikyuu ha Kibou de Mawatteru!,3,121
49,Honkai: Star Rail,6,118
50,BPM: BULLETS PER MINUTE,1,116
