rank,name,streamers,viewers
1,League of Legends,117,54798
2,Call of Duty: Black Ops 7,11,21180
3,Just Chatting,98,7150
4,VALORANT,257,6152
5,Escape from Tarkov,153,5751
6,Street Fighter 6,63,4404
7,Overwatch 2,103,2371
8,ARC Raiders,88,2294
9,Apex Legends,295,2036
10,MapleStory,3,1341
11,Teamfight Tactics,16,1070
12,Blue Protocol: Star Resonance,61,820
13,Black Desert,15,701
14,Dead by Daylight,61,557
15,Dark and Darker,8,460
16,Art,32,446
17,ELDEN RING NIGHTREIGN,37,416
18,Monster Hunter Wilds,96,393
19,Path of Exile 2,26,367
20,Rust,5,346
21,Fortnite,35,338
22,Genshin Impact,31,249
23,7 Days to Die,11,245
24,Hearthstone,4,243
25,World of Tanks,5,222
26,Minecraft,33,211
27,Super Smash Bros. Ultimate,3,174
28,Tingus Goose,2,165
29,Honkai: Star Rail,15,162
30,IRL,4,161
31,"Animals, Aquariums, and Zoos",5,156
32,Shadowverse: Worlds Beyond,11,155
33,Ninja 外伝 II: The Dark Sword of Chaos,1,155
34,Always On,4,135
35,Kirby Air Riders,7,123
36,Marvel Rivals,11,116
37,Strinova,13,114
38,Grand Theft Auto V,19,111
39,R.E.P.O.,17,110
40,Yakuza 0,1,107
41,Resident Evil 4,4,106
42,Eternal Return,7,100
43,FINAL FANTASY XIV ONLINE,2,97
44,Tom Clancy's Rainbow Six Siege X,18,97
45,Splatoon 3,12,88
46,Retro,10,86
47,ARK: Survival Ascended,8,82
48,Mecha BREAK,9,76
49,Beat Saber,7,74
50,Animal Crossing: New Horizons,6,73
