rank,name,streamers,viewers
1,ELDEN RING NIGHTREIGN,16,6244
2,Mamon King,2,3662
3,League of Legends,38,2251
4,Teamfight Tactics,22,1592
5,VALORANT,64,1294
6,Escape from Tarkov,52,1114
7,Just Chatting,55,837
8,Overwatch 2,43,739
9,Art,25,502
10,Street Fighter 6,21,502
11,Apex Legends,78,431
12,ARC Raiders,27,365
13,Hearthstone,3,295
14,FINAL FANTASY XIV ONLINE,15,288
15,Dead by Daylight,18,266
16,IRL,3,233
17,SUPER GHOULS'N GHOSTS,1,197
18,Pokémon Legends: Z-A,13,178
19,Mosaic of the Pharaohs,1,176
20,ASMR,15,173
21,Path of Exile 2,16,163
22,Shadowverse: Worlds Beyond,7,143
23,"Animals, Aquariums, and Zoos",4,141
24,Genshin Impact,15,132
25,Splatoon 3,8,129
26,Always On,5,124
27,Games + Demos,9,119
28,Retro,2,114
29,Monster Hunter Wilds,14,101
30,Metaphor: ReFantazio,1,95
31,Dark and Darker,3,86
32,Dave the Diver,1,68
33,Minecraft,18,64
34,Grand Theft Auto V,10,63
35,7 Days to Die,2,59
36, SEKIRO: SHADOWS DIE TWICE,1,59
37,Black Desert,5,58
38,Strinova,7,55
39,PowerWash Simulator,1,48
40,FINAL FANTASY XVI,2,47
41,Hookah Haze,1,38
42,PUBG: Black Budget,1,36
43,Digimon Story: Cyber Sleuth - Hacker's Memory,1,34
44,Eternal Return,3,31
45,Rust,2,25
46,DayZ,2,25
47,Euro Truck Simulator 2,2,25
48,Auto Chess,2,24
49,Dragon Ball Gekishin Squadra,1,23
50,Hogwarts Legacy,6,22
