rank,name,streamers,viewers
1,Mamon King,3,55759
2,Just Chatting,8,10183
3,Agreeee,1,8616
4,League of Legends,13,8193
5,Apex Legends,5,7829
6,Teamfight Tactics,6,7690
7,Street Fighter 6,6,5321
8,Minecraft,2,5174
9,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,5023
10,VALORANT,7,5001
11,ARC Raiders,8,3960
12,ARK: Survival Ascended,1,2654
13,Among Us 3D: VR,2,2410
14,,4,2088
15,Escape from Tarkov,4,2006
16,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,1839
17,Overwatch 2,3,1749
18,Mahou Shoujo no Majo Saiban,1,1698
19,Amagami,1,1272
20,Grand Theft Auto V,2,1040
21,Pokémon Legends: Z-A,2,973
22, SEKIRO: SHADOWS DIE TWICE,1,470
23,Pawafuru Puroyakyu 2024-2025,1,415
24,Stardew Valley,1,408
25,Black Desert,1,385
26,World of Tanks,1,359
27,It Takes Two,1,293
28,Kirby Air Riders,1,286
29,Gretel & Hansel,1,272
30,Magic: The Gathering,1,252
31,Animal Crossing: New Horizons,1,218
32,ELDEN RING NIGHTREIGN,1,199
33,PUBG: BATTLEGROUNDS,1,194
34,Gunfire Reborn,1,191
35,Shadowverse: Worlds Beyond,1,181
36,Dead by Daylight,1,179
37,Escape from Tarkov: Arena,1,172
