rank,name,streamers,viewers
1,Street Fighter 6,114,48602
2,Escape from Tarkov,152,14153
3,VALORANT,221,12072
4,Just Chatting,90,6275
5,Gran Turismo 7,5,4028
6,Teamfight Tactics,44,3866
7,Overwatch 2,116,3539
8,ARC Raiders,101,2945
9,League of Legends,95,2890
10,Animal Crossing: New Horizons,8,2117
11,Apex Legends,248,1972
12,Special Events,5,1618
13,Dead by Daylight,68,1295
14,FINAL FANTASY XIV ONLINE,67,1257
15,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,6,1158
16,Hearthstone,4,973
17,Genshin Impact,24,903
18,ROBLOX,2,895
19,Black Desert,10,636
20,DJs,3,619
21,Monster Hunter Wilds,69,611
22,Blue Protocol: Star Resonance,48,581
23,Path of Exile 2,28,581
24,Eternal Return,10,545
25,Pokémon Legends: Z-A,26,507
26,Snowbreak: Containment Zone,1,454
27,ASMR,10,421
28,IRL,4,410
29,Battlefield 6,20,409
30,Amagami,13,402
31,Super Smash Bros. Ultimate,6,377
32,Art,23,368
33,Music,15,359
34,Retro,11,344
35,ELDEN RING NIGHTREIGN,36,332
36,Dark and Darker,4,331
37,Minecraft,27,275
38,Rust,18,268
39,Taiko no Tatsujin: Rhythm Festival,4,263
40,Resident Evil 2,4,261
41,Fortnite,23,260
42,Tom Clancy's The Division 2,7,243
43,Umamusume: Pretty Derby,2,241
44,ORDER 13,1,222
45,World of Tanks,5,206
46,Splatoon 3,22,202
47,Tom Clancy's Rainbow Six Siege X,23,199
48,Call of Duty: Black Ops 7,21,192
49,Japan Stigmatized Property,5,183
50,"Animals, Aquariums, and Zoos",4,183
