rank,name,streamers,viewers
1,League of Legends,100,33252
2,Call of Duty: Black Ops 7,11,17271
3,Street Fighter 6,60,3905
4,Escape from Tarkov,107,3595
5,PowerWash Simulator 2,3,2600
6,Just Chatting,92,2408
7,VALORANT,171,2106
8,Apex Legends,273,1875
9,ARC Raiders,88,1708
10,Teamfight Tactics,24,1668
11,MapleStory,2,1522
12,Blue Protocol: Star Resonance,56,768
13,Overwatch 2,83,722
14,Art,32,655
15,FINAL FANTASY XIV ONLINE,38,513
16,Dark and Darker,11,491
17,Black Desert,12,419
18,Rust,11,355
19,Dead by Daylight,38,346
20,Path of Exile 2,26,346
21,ELDEN RING NIGHTREIGN,39,317
22,Monster Hunter Wilds,75,312
23,7 Days to Die,13,207
24,Hearthstone,3,205
25,IRL,4,200
26,World of Tanks,2,198
27,Wuthering Waves,8,193
28,Genshin Impact,17,176
29,Marvel Rivals,15,173
30,Super Smash Bros. Ultimate,3,169
31,"Animals, Aquariums, and Zoos",5,167
32,Shadowverse: Worlds Beyond,7,160
33,Ninja 外伝 II: The Dark Sword of Chaos,1,136
34,Always On,5,135
35,Minecraft,21,128
36,Fortnite,32,122
37,R.E.P.O.,13,118
38,The Legend of Zelda: A Link Between Worlds,1,112
39,Grand Theft Auto V,14,100
40,Beautiful Katamari,1,98
41,Karaoke Joysound for Streamer,1,95
42,ASMR,15,95
43,Little Nightmares III,2,95
44,Resident Evil 4,1,91
45,Yakuza 0,1,86
46,Tom Clancy's Rainbow Six Siege X,9,83
47,Retro,8,80
48,METAL GEAR SOLID Δ: SNAKE EATER,1,78
49,FINAL FANTASY X,1,77
50,Eternal Return,7,75
