rank,name,streamers,viewers
1,Escape from Tarkov,60,2741
2,Just Chatting,66,2204
3,Teamfight Tactics,14,1575
4,VALORANT,88,1483
5,Apex Legends,129,1051
6,League of Legends,56,952
7,ASMR,13,872
8,DIGIMON STORY: TIME STRANGER,1,692
9,ARC Raiders,38,613
10,ELDEN RING NIGHTREIGN,33,476
11,Hearthstone,4,458
12,Monster Hunter Wilds,48,450
13,Dead by Daylight,24,442
14,FINAL FANTASY TACTICS - The Ivalice Chronicles,1,383
15,Rust,15,357
16,Art,20,333
17,Overwatch 2,39,321
18,Blue Protocol: Star Resonance,28,316
19,Black Desert,8,316
20,FINAL FANTASY XIV ONLINE,14,287
21,Grand Theft Auto V,17,242
22,Street Fighter 6,34,239
23,Always On,4,208
24,Minecraft,22,177
25,IRL,2,172
26,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,164
27,Path of Exile 2,15,158
28,Backpack Battles,1,154
29,Pokémon Legends: Z-A,7,153
30,Dark Souls: Remastered,1,140
31,Wuthering Waves,4,138
32,Mamon King,4,135
33,Shadowverse: Worlds Beyond,9,131
34,"Animals, Aquariums, and Zoos",5,126
35,FINAL FANTASY VIII Remastered,1,123
36,Genshin Impact,15,118
37,Metaphor: ReFantazio,2,94
38,Splatoon 3,11,85
39,World of Tanks,4,83
40,Honkai: Star Rail,6,83
41,Tom Clancy's The Division 2,3,80
42,TEKKEN 8,4,78
43,ARK: Survival Ascended,7,73
44,7 Days to Die,4,70
45,Sakuna: Of Rice and Ruin,1,67
46,Music,7,67
47,Dungeon ni Seisoku Da!,1,64
48,Dragon Quest III HD-2D Remake,2,63
49,Lies of P,1,63
50,Phoenix Wright: Ace Attorney Trilogy,1,57
