rank,name,streamers,viewers
1,Just Chatting,206,24720
2,Escape from Tarkov,119,15721
3,League of Legends,113,14279
4,Street Fighter 6,115,7924
5,ARC Raiders,95,6692
6,Apex Legends,254,6685
7,VALORANT,229,6499
8,Mamon King,4,4930
9,Overwatch 2,96,3820
10,DON'T SCREAM TOGETHER,2,3254
11,Dragon Quest I & II HD-2D Remake,9,3108
12,Blue Protocol: Star Resonance,39,2672
13,Jinro Metropolis,6,2286
14,Survival Quiz City: Festival Edition,2,2205
15,SILENT HILL ƒ,6,1928
16,Satisfactory,8,1883
17,FINAL FANTASY XIV ONLINE,99,1809
18,Black Desert,11,1699
19,Monster Hunter Wilds,78,1691
20,Dead by Daylight,75,1328
21,Teamfight Tactics,11,1214
22,Pokémon Legends: Z-A,19,1198
23,Cursed Companions,8,1135
24,Hearthstone,3,1065
25,Grand Theft Auto V,39,1012
26,7 Days to Die,15,871
27,Doraemon: Nobita to Fukkatsu no Hoshi,1,815
28,Minecraft,39,811
29,Agreeee,2,792
30,Dark and Darker,8,782
31,R.E.P.O.,32,779
32,Retro,13,724
33,Art,24,721
34,Eternal Return,17,706
35,ELDEN RING NIGHTREIGN,29,647
36,ASMR,4,612
37,Shadowverse: Worlds Beyond,13,610
38,DEVOUR,4,521
39,MIMESIS,28,519
40,Japan Stigmatized Property,10,514
41,2XKO,1,456
42,DJs,10,417
43,Tom Clancy's Rainbow Six Siege X,20,397
44,Rust,14,381
45,Marvel Rivals,14,363
46,Path of Exile 2,13,360
47,osu!,4,356
48,Super Smash Bros. Ultimate,6,296
49,World of Tanks,6,293
50,Strinova,11,278
