rank,name,streamers,viewers,avg_viewers_per_stream
1,Just Chatting,2822,154202,54.64
2,ARC Raiders,2814,76857,27.31
3,League of Legends,1274,32559,25.56
4,I'm Only Sleeping,243,30602,125.93
5,IRL,344,28058,81.56
6,Overwatch 2,995,25498,25.63
7,Counter-Strike,674,25132,37.29
8,Teamfight Tactics,359,23550,65.6
9,Grand Theft Auto V,1601,23108,14.43
10,Fortnite,3055,23001,7.53
11,Escape from Tarkov,756,21996,29.1
12,Minecraft,1385,21865,15.79
13,VALORANT,1562,19140,12.25
14,Dead by Daylight,1284,18743,14.6
15,Virtual Casino,28,18530,661.79
16,DARK SOULS II: Scholar of the First Sin,23,17625,766.3
17,World of Warcraft,455,17371,38.18
18,Call of Duty: Warzone,1394,16599,11.91
19,Rust,181,15972,88.24
20,Marvel Rivals,1354,14960,11.05
21,Arena Breakout: Infinite,204,13448,65.92
22,Special Events,48,12856,267.83
23,Dota 2,506,12411,24.53
24,ASMR,154,11839,76.88
25,Baldur's Gate 3,111,11245,101.31
26,Pokémon Legends: Z-A,595,8852,14.88
27,ROBLOX,865,8731,10.09
28,Always On,264,8731,33.07
29,Hearthstone,62,8358,134.81
30,Apex Legends,1116,8318,7.45
31,Fall Guys,37,7883,213.05
32,Slots,35,7832,223.77
33,ELDEN RING NIGHTREIGN,366,7330,20.03
34,Call of Duty: Black Ops 7,923,7002,7.59
35,Music,462,6900,14.94
36,Deadlock,94,6601,70.22
37,Warframe,196,6589,33.62
38,Etheria: Restart,1,6218,6218.0
39,FINAL FANTASY XIV ONLINE,383,6202,16.19
40,A.I.L.A,7,5920,845.71
41,Art,417,5541,13.29
42,Legend of YMIR,75,5423,72.31
43,NBA 2K26,1104,5264,4.77
44,Retro,182,4970,27.31
45,DJs,158,4852,30.71
46,World of Tanks,108,4724,43.74
47,Lost Ark,37,4617,124.78
48,Battlefield 6,534,4442,8.32
49,Path of Exile 2,69,4135,59.93
50,PUBG: BATTLEGROUNDS,262,3504,13.37
