rank,name,streamers,viewers
1,Persona 5 Royal,1,3009
2,Apex Legends,202,2380
3,League of Legends,72,2135
4,Teamfight Tactics,25,1998
5,Escape from Tarkov,95,1664
6,VALORANT,143,1616
7,Hearthstone,4,1320
8,Just Chatting,66,1315
9,ASMR,17,1159
10,ARC Raiders,59,694
11,Blue Protocol: Star Resonance,41,572
12,FINAL FANTASY XIV ONLINE,38,562
13,Rust,16,533
14,Overwatch 2,46,522
15,Dead by Daylight,56,451
16,Street Fighter 6,50,433
17,Path of Exile 2,22,428
18,Bread & Fred,1,366
19,Art,22,353
20,Retro,13,315
21,Black Desert,11,298
22,Monster Hunter Wilds,60,288
23,Dark and Darker,6,277
24,Phasmophobia,6,268
25,ELDEN RING NIGHTREIGN,24,248
26,Super Mario 64,2,247
27,Backpack Battles,2,239
28,Shadowverse: Worlds Beyond,7,198
29,For the King II,1,193
30,Diablo IV,4,170
31,Animal Crossing: New Horizons,3,169
32,"Animals, Aquariums, and Zoos",5,164
33,Dark Souls: Remastered,2,157
34,Escape from Tarkov: Arena,4,155
35,World of Tanks,7,151
36,Genshin Impact,19,149
37,Kusoge,1,143
38,Marvel Rivals,8,137
39,Refind Self: The Personality Test Game,1,123
40,Crab Champions,1,114
41,Always On,3,113
42,Ōkami HD,1,108
43,The Legend of Zelda: The Wind Waker,1,106
44,Honkai: Star Rail,5,102
45,Fortnite,22,92
46,Mamon King,5,92
47,Software and Game Development,2,78
48,Magic: The Gathering,1,78
49,Tumbleweed Destiny,1,77
50,DARK SOULS III,4,77
