rank,name,streamers,viewers
1,Mamon King,4,70251
2,League of Legends,16,20153
3,Escape from Tarkov,5,13025
4,Just Chatting,7,4971
5,Street Fighter 6,4,4720
6,Pokémon Legends: Z-A,4,4543
7,Dead by Daylight,1,4093
8,ARC Raiders,9,4068
9,VALORANT,4,3505
10,ELDEN RING NIGHTREIGN,4,1981
11,Party Animals,3,1566
12,Apex Legends,4,1477
13,Teamfight Tactics,2,1250
14,ASMR,2,1198
15,Minecraft,2,1163
16,INAZUMA ELEVEN: Victory Road,1,1068
17,Black Desert,2,950
18,Resident Evil Zero,1,902
19,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,4,897
20,Overwatch 2,2,779
21,Leaf it Alone,1,758
22,Parking Together!,1,717
23,Hearthstone,1,552
24,ARK: Survival Ascended,1,463
25,Dragon Quest I & II HD-2D Remake,1,375
26,Grand Theft Auto V,1,330
27,7 Days to Die,1,300
28,Restaurats,1,252
29,,1,250
30,Resident Evil 2,1,247
31,Eternal Return,1,242
32,"Yes, My Queen",1,230
33,Japan Stigmatized Property,1,224
34,Heavy Rain,1,221
35,I'm on Observation Duty 8,1,217
36,Hyrule Warriors: Age of Imprisonment,1,205
37,DJs,1,205
38,Animal Crossing: New Horizons,1,191
39,Dark and Darker,1,170
