rank,name,streamers,viewers
1,League of Legends,130,41005
2,Street Fighter 6,107,31943
3,VALORANT,264,18250
4,Just Chatting,141,15348
5,ARC Raiders,98,10932
6,Dragon Quest Monsters: Terry no Wonderland SP,1,9373
7,Escape from Tarkov,146,5265
8,Minecraft,35,4389
9,FINAL FANTASY XIV ONLINE,110,2455
10,Jinro Metropolis,4,2363
11,Apex Legends,242,2288
12,Monster Hunter Wilds,179,1425
13,Mamon King,13,1389
14,Overwatch 2,93,1257
15,Satisfactory,6,1150
16,Grand Theft Auto V,30,1082
17,Hearthstone,2,1040
18,Delta Force,10,1013
19,Path of Exile 2,21,984
20,Amagami,1,966
21,Teamfight Tactics,18,966
22,Resident Evil Zero,1,826
23,Black Desert,10,825
24,Dead by Daylight,82,808
25,Clair Obscur: Expedition 33,3,770
26,ASMR,7,740
27,ELDEN RING NIGHTREIGN,28,681
28,Retro,18,582
29,Art,23,513
30,Dragon Quest I & II HD-2D Remake,7,495
31,Pokémon Legends: Z-A,33,481
32,Genshin Impact,22,360
33,Shadowverse: Worlds Beyond,9,350
34,World of Tanks,9,325
35,IRL,2,293
36,DJs,8,291
37,7 Days to Die,12,272
38,R.E.P.O.,21,268
39,Yakuza 4 Remastered,1,265
40,Marvel Rivals,16,240
41,Super Smash Bros. Ultimate,9,230
42,ARK: Survival Ascended,5,227
43,The Legend of Zelda: Breath of the Wild,1,217
44,Tom Clancy's Rainbow Six Siege X,13,207
45,Fortnite,26,194
46,Battlefield 6,13,193
47,"Animals, Aquariums, and Zoos",3,189
48,Strinova,8,187
49,Zenless Zone Zero,14,180
50,PUBG: BATTLEGROUNDS,10,176
