rank,name,streamers,viewers
1,Just Chatting,154,31026
2,VALORANT,225,21059
3,Escape from Tarkov,159,16501
4,Ells Tales: Chairbound,1,12098
5,Street Fighter 6,108,5254
6,Shadowverse: Worlds Beyond,19,4554
7,Mamon King,2,4106
8,Apex Legends,235,3424
9,League of Legends,112,3421
10,ARC Raiders,101,3404
11,Overwatch 2,97,2624
12,Blue Protocol: Star Resonance,33,2502
13,Satisfactory,4,1786
14,Cursed Companions,7,1343
15,FINAL FANTASY XIV ONLINE,78,1190
16,Black Desert,16,1133
17,Retro,15,1080
18,Monster Hunter Wilds,79,1041
19,Sonic Racing: CrossWorlds,2,938
20,Dead by Daylight,75,883
21,Teamfight Tactics,13,873
22,Art,29,870
23,Doraemon: Nobita to Fukkatsu no Hoshi,1,820
24,Eternal Return,12,803
25,Agreeee,1,800
26,ELDEN RING NIGHTREIGN,43,792
27,Kareshi no Mawari ni itara Iya na Onna Tomodachi wo Kobushi de Wakaraseru Game,2,644
28,Pokémon Ruby/Sapphire,1,632
29,Dark and Darker,11,558
30,Path of Exile 2,19,494
31,Dragon Quest I & II HD-2D Remake,4,465
32,2XKO,1,446
33,Rust,22,445
34,Super Smash Bros. Ultimate,7,439
35,Genshin Impact,34,411
36,Grand Theft Auto V,34,373
37,Pokémon Legends: Z-A,24,372
38,Tom Clancy's Rainbow Six Siege X,21,355
39,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,1,326
40,Jinro Metropolis,2,319
41,Strinova,17,287
42,ARK: Survival Ascended,19,276
43,World of Tanks,11,275
44,Minecraft,30,267
45,DJs,3,256
46,Hearthstone,2,251
47,Restore Your Island,1,242
48,7 Days to Die,10,242
49,IRL,6,226
50,Music,13,215
