rank,name,streamers,viewers
1,VALORANT,8,45650
2,Mamon King,6,17002
3,Escape from Tarkov,8,12624
4,Street Fighter 6,3,9690
5,League of Legends,11,5104
6,ARC Raiders,11,4351
7,Dead by Daylight,4,4293
8,Overwatch 2,7,4040
9,Teamfight Tactics,2,1243
10,Just Chatting,4,866
11,ASMR,2,798
12,Minecraft,4,750
13,Black Desert,2,556
14,Platform 6 Online,1,518
15,Eternal Return,1,416
16,Hearthstone,2,368
17,Apex Legends,2,348
18,Tom Clancy's Rainbow Six Siege X,1,313
19,SILENT HILL ƒ,1,312
20,Dark and Darker,2,310
21,Heavy Rain,1,269
22,ELDEN RING NIGHTREIGN,2,248
23,Japan Stigmatized Property,1,227
24,Arena Breakout: Infinite,1,206
25,Pokémon Legends: Z-A,1,172
26,DJs,1,163
27,Delta Force,1,158
28,"Animals, Aquariums, and Zoos",1,143
29,Rust,1,142
30,Art,1,139
31,Jinro Metropolis,1,129
32,IRL,1,123
33,,1,123
34,ARK: Survival Ascended,1,119
35,INAZUMA ELEVEN: Victory Road,1,117
