rank,name,streamers,viewers
1,Just Chatting,144,31267
2,VALORANT,260,20572
3,Escape from Tarkov,138,11663
4,Street Fighter 6,78,7599
5,Apex Legends,332,6753
6,Rhythm Doctor,2,6576
7,League of Legends,120,5168
8,Teamfight Tactics,17,5143
9,Pokémon Legends: Z-A,39,4122
10,ARC Raiders,91,3671
11,Cut That Wire,2,3267
12,Overwatch 2,133,3055
13,ASMR,15,3047
14,Path of Exile 2,17,2608
15,Agreeee,4,2510
16,ELDEN RING NIGHTREIGN,47,2348
17,Genshin Impact,25,1725
18,DJs,2,1690
19,Dead by Daylight,76,1343
20,Minecraft,40,1342
21,Hearthstone,5,1305
22,ARK: Survival Ascended,18,1161
23,SILENT HILL ƒ,9,1052
24,Animal Crossing: New Horizons,5,920
25,FINAL FANTASY XIV ONLINE,56,880
26,Grand Theft Auto V,60,807
27,Art,24,575
28,OCTOPATH TRAVELER 0,12,562
29,Kirby Air Riders,7,486
30,Chillquarium,1,478
31,Battlefield 6,2,416
32,ZAKO NO AHIRU,1,400
33,Magic: The Gathering,5,374
34,Dark and Darker,8,365
35,Marvel Rivals,20,339
36,Monster Hunter Wilds,41,304
37,PUBG: BATTLEGROUNDS,12,258
38,Phasmophobia,4,256
39,My Little Puppy,1,245
40,Yakuza 4 Remastered,1,227
41,Retro,9,227
42,Wuthering Waves,10,218
43,Shadowverse: Worlds Beyond,6,213
44,Black Desert,15,212
45,EA Sports FC 26,5,208
46,Raft,3,203
47,R.E.P.O.,31,192
48,World of Tanks,5,190
49,Jurassic World Evolution 3,1,188
50,Always On,3,182
