rank,name,streamers,viewers
1,Just Chatting,181,34164
2,Dragon Ball FighterZ,6,24105
3,VALORANT,259,21572
4,Dragon Quest Monsters: Terry no Wonderland SP,1,12532
5,Escape from Tarkov,120,10817
6,Street Fighter 6,87,9446
7,League of Legends,144,8124
8,Overwatch 2,134,5919
9,Teamfight Tactics,20,5230
10,ARC Raiders,71,5066
11,Agreeee,4,3462
12,Apex Legends,266,3348
13,Path of Exile 2,27,2979
14,DJs,8,2375
15,ARK: Survival Ascended,22,2110
16,Minecraft,47,1672
17,Dead by Daylight,76,1399
18,Hearthstone,5,1387
19,FINAL FANTASY XIV ONLINE,86,1344
20,PAYDAY 3,3,1279
21,Dragon Ball Gekishin Squadra,5,1176
22,Amagami,1,1169
23,SILENT HILL ƒ,9,1153
24,Hogwarts Legacy,8,1043
25,ASMR,6,929
26,ELDEN RING NIGHTREIGN,38,894
27,Resident Evil Zero,1,881
28,Art,39,880
29,Suika Game,1,875
30,Mamon King,9,727
31,Black Desert,9,680
32,Dragon Quest I & II HD-2D Remake,13,651
33,Deviation Game,4,619
34,Fortnite,28,551
35,Monster Hunter Wilds,48,520
36,Retro,12,507
37,Grand Theft Auto V,31,491
38,ZAKO NO AHIRU,1,441
39, SEKIRO: SHADOWS DIE TWICE,6,419
40,Kirby Air Riders,8,414
41,World of Tanks,12,387
42,Pokémon Legends: Z-A,32,385
43,Jinro Metropolis,4,384
44,Magic: The Gathering,3,383
45,Genshin Impact,23,357
46,MIMESIS,12,352
47,R.E.P.O.,40,333
48,Shadowverse: Worlds Beyond,14,310
49,Super Mario Maker 2,3,303
50,Phasmophobia,8,266
