rank,name,streamers,viewers
1,League of Legends,117,62802
2,VALORANT,260,7177
3,Street Fighter 6,81,5670
4,ARC Raiders,86,3474
5,Just Chatting,111,3453
6,Apex Legends,315,2169
7,Escape from Tarkov,150,1994
8,MapleStory,5,1623
9,Overwatch 2,110,1170
10,Teamfight Tactics,17,1094
11,ROBLOX,3,1011
12,Blue Protocol: Star Resonance,59,920
13,Art,39,609
14,Dead by Daylight,62,607
15,Black Desert,12,574
16,Dark and Darker,8,530
17,Monster Hunter Wilds,112,435
18,Path of Exile 2,22,366
19,Minecraft,48,329
20,Fortnite,29,328
21,Rust,5,323
22,Grand Theft Auto V,31,322
23,Pokémon Legends: Z-A,19,261
24,7 Days to Die,12,259
25,Genshin Impact,32,259
26,World of Tanks,3,239
27,Hearthstone,4,225
28,"Animals, Aquariums, and Zoos",6,211
29,Super Smash Bros. Ultimate,3,193
30,Tingus Goose,2,191
31,IRL,4,187
32,#COMPASS,1,166
33,ELDEN RING NIGHTREIGN,35,164
34,Always On,4,132
35,Resident Evil 4,4,127
36,Retro,9,124
37,Kirby Air Riders,6,121
38,Yakuza 0,1,118
39,FINAL FANTASY XIV ONLINE,2,115
40,Karaoke Joysound for Streamer,1,103
41,R.E.P.O.,15,102
42,Strinova,9,101
43,Honkai: Star Rail,11,101
44,Eternal Return,7,101
45,ASMR,16,90
46,Tom Clancy's Rainbow Six Siege X,17,89
47,Music,8,89
48,Marvel Rivals,15,88
49,TEKKEN 8,6,85
50,METAL GEAR SOLID Δ: SNAKE EATER,1,82
