rank,name,streamers,viewers
1,Just Chatting,73,13969
2,Street Fighter 6,11,7071
3,League of Legends,109,3972
4,VALORANT,194,3164
5,ARC Raiders,79,3081
6,Sports,1,3064
7,Overwatch 2,79,2457
8,Monster Hunter Wilds,286,2443
9,Escape from Tarkov,112,2322
10,Apex Legends,281,1574
11,Hearthstone,2,896
12,Teamfight Tactics,27,683
13,Dead by Daylight,47,677
14,Path of Exile 2,24,530
15,Super Mario World 2: Yoshi's Island,1,503
16,Mario Kart World,2,473
17,FINAL FANTASY XIV ONLINE,26,392
18,Art,37,374
19,IRL,5,372
20,Genshin Impact,33,357
21,Shadowverse: Worlds Beyond,9,341
22,Deviation Game,1,307
23,Grand Theft Auto V,24,273
24,Black Desert,9,256
25,ASMR,18,254
26,World of Tanks,2,243
27,ELDEN RING NIGHTREIGN,29,226
28,SILENT HILL ƒ,3,217
29,Dark and Darker,3,206
30,Marvel Rivals,14,137
31,2XKO,2,124
32,"Animals, Aquariums, and Zoos",6,122
33,Dragon Quest VI: Maboroshi no Daichi,3,120
34,Splatoon 3,10,116
35,Hollow Knight,1,116
36,Tom Clancy's Rainbow Six Siege X,8,111
37,The Legend of Zelda: A Link Between Worlds,1,109
38,Minecraft,30,108
39,Alien: Isolation,1,105
40,Ninja 外伝 II: The Dark Sword of Chaos,1,101
41,Retro,9,99
42,OCTOPATH TRAVELER 0,6,94
43,Eternal Return,6,91
44,Deduce Together,1,88
45,Resident Evil 4,4,87
46,Once Human,5,86
47,Rust,10,86
48,Beautiful Katamari,1,85
49,Throne and Liberty,2,85
50,Tingus Goose,1,84
