rank,name,streamers,viewers
1,League of Legends,112,57341
2,Yakuza Kiwami 2,1,44918
3,Just Chatting,119,21542
4,Kirby Air Riders,7,8224
5,VALORANT,214,8212
6,Street Fighter 6,87,6536
7,Mamon King,11,5914
8,ARC Raiders,102,3695
9,Grand Theft Auto V,32,3116
10,Apex Legends,313,2839
11,Minecraft,40,2821
12,Overwatch 2,120,2746
13,Marvel Rivals,20,2367
14,Escape from Tarkov,126,2355
15,Teamfight Tactics,29,2070
16,ELDEN RING NIGHTREIGN,54,1204
17,Hearthstone,2,986
18,FINAL FANTASY XIV ONLINE,74,968
19,Monster Hunter Wilds,112,810
20,Dead by Daylight,57,804
21,ASMR,11,699
22,Leaf it Alone,1,678
23,Art,29,617
24,Path of Exile 2,23,599
25,7 Days to Die,10,598
26,VRChat,5,562
27,Music,14,423
28,Honkai: Star Rail,28,406
29,Shadowverse: Worlds Beyond,6,379
30,SILENT HILL ƒ,5,372
31,Liminal City,1,332
32,Black Desert,10,317
33,Jinro Metropolis,3,306
34,Dark and Darker,3,303
35,World of Tanks,10,285
36,MIMESIS,4,283
37,IRL,2,270
38,Tom Clancy's The Division 2,9,250
39,Special Events,3,236
40,Genshin Impact,35,225
41,Fortnite,38,212
42,Battlefield 6,8,184
43,I'm on Observation Duty 8,1,182
44,DIGIMON STORY: TIME STRANGER,2,177
45,Always On,3,171
46,Mario Kart World,3,166
47,MapleStory,4,165
48,Splatoon 3,22,161
49,We Were Here Forever,1,155
50,Retro,10,149
