rank,name,streamers,viewers
1,The Game Awards,9,18434
2,League of Legends,10,4589
3,Just Chatting,7,2818
4,VALORANT,10,1317
5,Escape from Tarkov,10,1057
6,Hearthstone,1,798
7,Crime Simulator,1,770
8,Overwatch 2,5,639
9,ARC Raiders,2,595
10,Apex Legends,4,439
11,Teamfight Tactics,1,412
12,Street Fighter 6,3,406
13,,2,303
14,ASMR,2,238
15,Black Desert,1,219
16,Eternal Return,1,180
17,Dead by Daylight,2,156
18,Shadowverse: Worlds Beyond,1,147
19,ELDEN RING NIGHTREIGN,1,143
20,Path of Exile 2,1,140
21,IRL,1,122
22,Little Rocket Lab,1,115
23,FINAL FANTASY XIV ONLINE,2,111
24,Rust,1,107
25,Marvel Rivals,1,104
26,Dark and Darker,1,104
27,Winter Burrow,1,76
28,Sir Fallen,1,76
29,Retro,1,74
30,"Animals, Aquariums, and Zoos",1,72
31,FINAL FANTASY X,1,71
32,Genshin Impact,1,68
33,The First Descendant,1,62
34,Monster Hunter Wilds,1,61
35,Sakuna: Of Rice and Ruin,1,57
36,Where Winds Meet,1,57
37,Wuthering Waves,1,54
38,OCTOPATH TRAVELER 0,1,53
39,Dragon Quest III: The Seeds of Salvation,1,53
40,Art,1,53
41,Always On,1,53
42,Fatal Fury: City of the Wolves,1,53
43,SANABI,1,50
44,Diddy Kong Racing,1,49
45,Super Smash Bros. Ultimate,1,48
