rank,name,streamers,viewers
1,ARC Raiders,88,48147
2,Street Fighter 6,102,42498
3,Just Chatting,205,23414
4,VALORANT,180,7965
5,League of Legends,129,6758
6,Kirby Air Riders,17,6607
7,Escape from Tarkov,108,6457
8,Art,30,3749
9,World of Warships,6,2608
10,Apex Legends,292,2590
11,Delta Force,32,2539
12,Teamfight Tactics,20,2528
13,Jinro Metropolis,2,2181
14,ELDEN RING NIGHTREIGN,36,2071
15,Overwatch 2,89,1972
16,Agreeee,3,1667
17,Blue Protocol: Star Resonance,50,1589
18,Minecraft,50,1392
19,FINAL FANTASY XIV ONLINE,74,1359
20,Monster Hunter Wilds,61,1102
21,Path of Exile 2,19,988
22,Dead by Daylight,73,813
23,Satisfactory,2,780
24,Dark and Darker,10,769
25,Retro,13,766
26,Black Desert,9,631
27,Grand Theft Auto V,67,622
28,Special Events,4,611
29,Marvel Rivals,12,499
30,Shadowverse: Worlds Beyond,13,427
31,Leaf it Alone,1,366
32,Tom Clancy's Rainbow Six Siege X,23,329
33,DJs,8,318
34,ASMR,5,316
35,Music,12,306
36,Genshin Impact,22,299
37,Eternal Return,4,264
38,Hearthstone,2,258
39,Rust,16,228
40,Honkai: Star Rail,10,222
41,Fortnite,25,208
42,Clair Obscur: Expedition 33,5,207
43,Tom Clancy's The Division 2,4,205
44,World of Tanks,10,202
45,ARK: Survival Ascended,17,200
46,I'm on Observation Duty 8,1,197
47,Goose Goose Duck,6,192
48,Animal Crossing: New Horizons,1,187
49,GUILTY GEAR -STRIVE-,7,182
50,INAZUMA ELEVEN: Victory Road,7,174
