rank,name,streamers,viewers
1,VALORANT,61,1826
2,Teamfight Tactics,19,1825
3,Just Chatting,60,1226
4,Escape from Tarkov,64,1095
5,League of Legends,47,945
6,Overwatch 2,41,892
7,Apex Legends,91,767
8,ARC Raiders,36,730
9,Dragon Ball FighterZ,1,647
10,Street Fighter 6,22,407
11,Hearthstone,2,406
12,ELDEN RING NIGHTREIGN,18,338
13,SUPER GHOULS'N GHOSTS,1,336
14,Art,21,329
15,IRL,4,322
16,FINAL FANTASY XIV ONLINE,17,253
17,Path of Exile 2,25,221
18,Genshin Impact,15,216
19,Dead by Daylight,20,212
20,Raft,1,205
21,Minecraft,24,173
22,Splatoon 3,10,172
23,Always On,4,161
24,"Papers, Please",1,153
25,ASMR,16,149
26,"Animals, Aquariums, and Zoos",4,142
27,Diablo IV,3,136
28,Metaphor: ReFantazio,1,133
29,Shadowverse: Worlds Beyond,3,120
30,Marvel Rivals,9,119
31,Grand Theft Auto V,11,116
32,Retro,3,114
33,Pokémon Legends: Z-A,11,113
34,Games + Demos,8,113
35,Black Desert,3,112
36,Monster Hunter Wilds,11,81
37,7 Days to Die,2,79
38,Fortnite,16,78
39,Dark and Darker,1,76
40,Duolingo,6,71
41,Super Mario World,1,63
42,Eternal Return,3,58
43,Animal Crossing: New Horizons,4,54
44,FINAL FANTASY XVI,3,54
45,Ring Fit Adventure,1,52
46,Zenless Zone Zero,3,45
47,Co-working & Studying,2,44
48,Hookah Haze,1,42
49,A taste of home,1,40
50,Delta Force,4,36
