rank,name,streamers,viewers
1,Grand Theft Auto V,180,114022
2,League of Legends,149,42409
3,Yakuza Kiwami 2,3,32816
4,Street Fighter 6,105,13499
5,Just Chatting,210,8862
6,Apex Legends,221,8622
7,Dragon Quest Monsters: Terry no Wonderland SP,1,8484
8,Rhythm Doctor,2,5094
9,Clubhouse Games: 51 Worldwide Classics,1,4834
10,Dead by Daylight,76,4383
11,VALORANT,183,4353
12,Overwatch 2,119,2585
13,Platform 6 Online,1,2509
14,ELDEN RING NIGHTREIGN,44,2260
15,Escape from Tarkov,98,2110
16,Shadowverse: Worlds Beyond,13,1899
17,Teamfight Tactics,14,1783
18,Arknights: Endfield,1,1647
19,Minecraft,48,1357
20,Dragon Quest I & II HD-2D Remake,8,1346
21,Black Desert,7,1339
22,FINAL FANTASY XIV ONLINE,64,1111
23,Call of Duty: Black Ops 7,12,1027
24,Blue Protocol: Star Resonance,33,1005
25,Amagami,1,1004
26,Dread Flats,1,955
27,Agreeee,2,788
28,Monster Hunter Wilds,74,776
29,Path of Exile 2,9,755
30,Chocobo no Fushigi na Dungeon,2,657
31,Pokémon Legends: Z-A,23,572
32,ARC Raiders,48,563
33,World of Warships,4,529
34,Retro,12,496
35,ASMR,5,477
36,Super Smash Bros. Ultimate,5,418
37,R.E.P.O.,33,411
38,Art,18,400
39,Fortnite,22,392
40,World of Tanks,11,373
41,"Animals, Aquariums, and Zoos",5,303
42,Hearthstone,3,287
43,Resident Evil 3: Nemesis,3,283
44,Kirby Air Riders,9,264
45,Rust,15,263
46,Marvel Rivals,23,250
47,SILENT HILL ƒ,5,246
48,Among Us,10,242
49,Mario Kart World,3,221
50,Music,10,219
