rank,name,streamers,viewers
1,Escape from Tarkov,10,16086
2,VALORANT,8,12316
3,League of Legends,14,8608
4,Mamon King,5,6196
5,ARC Raiders,8,2806
6,Street Fighter 6,7,2613
7,World of Tanks,1,1870
8,Just Chatting,5,1452
9,Overwatch 2,5,1369
10,Teamfight Tactics,3,1010
11,Hearthstone,1,977
12,Dead by Daylight,2,321
13,IRL,2,317
14,Black Desert,1,291
15,Dragon Quest I & II HD-2D Remake,1,279
16,Apex Legends,2,273
17,Art,1,255
18,ELDEN RING NIGHTREIGN,2,252
19,,2,238
20,Eternal Return,2,215
21,Tom Clancy's Rainbow Six Siege X,1,198
22,Dark and Darker,1,186
23,Pokémon Legends: Z-A,1,173
24,Rust,1,140
25,"Animals, Aquariums, and Zoos",1,140
26,Music,1,134
27,"Warhammer 40,000: Darktide",1,127
28,Shadowverse: Worlds Beyond,1,121
29,Kirby Air Riders,1,110
30,Delta Force,1,100
31,Mario Kart World,1,99
32,Jinro Metropolis,1,96
33,Super Mario 64,1,93
34,Rhythm Doctor,1,93
35,Mess Adventures,1,90
36,World of Warships,1,90
37,ASMR,1,84
