rank,name,streamers,viewers
1,Street Fighter 6,89,44806
2,ARC Raiders,106,44678
3,Just Chatting,162,23894
4,VALORANT,206,9936
5,League of Legends,134,5455
6,Escape from Tarkov,118,5388
7,Overwatch 2,120,3710
8,Art,27,3681
9,Apex Legends,261,2834
10,Teamfight Tactics,25,2514
11,Delta Force,22,2273
12,Jinro Metropolis,3,2110
13,Blue Protocol: Star Resonance,53,1779
14,World of Warships,1,1555
15,FINAL FANTASY XIV ONLINE,68,1370
16,Minecraft,51,1242
17,Path of Exile 2,19,1029
18,Monster Hunter Wilds,76,966
19,Dead by Daylight,56,836
20,Special Events,5,768
21,Retro,11,711
22,ELDEN RING NIGHTREIGN,39,648
23,Black Desert,18,570
24,Leaf it Alone,1,426
25,Grand Theft Auto V,57,406
26,ASMR,9,364
27,Shadowverse: Worlds Beyond,10,335
28,Tom Clancy's Rainbow Six Siege X,19,290
29,Eternal Return,6,287
30,DJs,5,283
31,Marvel Rivals,17,276
32,ARK: Survival Ascended,24,244
33,Animal Crossing: New Horizons,4,237
34,Honkai: Star Rail,7,229
35,Music,12,225
36,Hearthstone,4,213
37,The Legend of Zelda: Breath of the Wild,4,201
38,Rust,15,200
39,IRL,4,189
40,I'm on Observation Duty 8,2,185
41,Tom Clancy's The Division 2,7,179
42,Splatoon 3,18,169
43,Pokémon Legends: Z-A,28,165
44,INAZUMA ELEVEN: Victory Road,12,157
45,Fortnite,27,143
46,VRChat,4,142
47,ELDEN RING,6,142
48,Super Mario World,1,141
49,Shawarma Legend,1,141
50,"Animals, Aquariums, and Zoos",4,133
