rank,name,streamers,viewers
1,Mamon King,4,7810
2,League of Legends,8,3976
3,VALORANT,6,3316
4,Pokémon Legends: Z-A,2,1351
5,ASMR,4,752
6,Overwatch 2,6,689
7,Hearthstone,1,655
8,Escape from Tarkov,5,515
9,Just Chatting,5,397
10,Teamfight Tactics,1,339
11,Apex Legends,4,330
12,SUPER GHOULS'N GHOSTS,1,304
13,ELDEN RING NIGHTREIGN,3,266
14,ARC Raiders,3,260
15,Dead by Daylight,4,242
16,Always On,3,212
17,Animal Crossing: New Horizons,2,211
18,,2,199
19,Music,2,181
20,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,172
21,Art,2,146
22,Street Fighter 6,3,141
23,Hatsune Miku: Project DIVA Mega Mix+,1,140
24,Jinro Metropolis,1,137
25,ARK: Survival Evolved,1,136
26,Shadowverse: Worlds Beyond,1,136
27,FINAL FANTASY XIV ONLINE,2,135
28,Queen's Loyalty,1,124
29,IRL,1,122
30,MapleStory,2,120
31,Eternal Return,1,117
32,"Animals, Aquariums, and Zoos",1,103
33,ARK: Survival Ascended,1,84
34,Minecraft,1,81
35,Retro,1,76
36,Gwent: The Witcher Card Game,1,76
37,Ōkami HD,1,75
38,World of Tanks,1,67
39,Dark and Darker,1,62
40,The First Descendant,1,58
41,PEAK,1,57
42,Genshin Impact,1,55
43,Super Mario World,1,53
44,Vampire Survivors,1,48
45,Black Desert,1,42
46,かまいたちの夜×3,1,40
