rank,name,streamers,viewers
1,Escape from Tarkov,133,8252
2,League of Legends,120,6735
3,Mamon King,16,5095
4,Street Fighter 6,69,4805
5,ARC Raiders,73,3640
6,Overwatch 2,101,3178
7,Just Chatting,80,3052
8,VALORANT,208,3030
9,Alchemy Factory,2,1987
10,Apex Legends,244,1614
11,Teamfight Tactics,28,1030
12,Dead by Daylight,66,799
13,Path of Exile 2,38,732
14,ELDEN RING NIGHTREIGN,31,665
15,Suika Game,1,578
16,Art,32,539
17,FINAL FANTASY XIV ONLINE,36,481
18,7 Days to Die,10,336
19,IRL,4,327
20,Marvel Rivals,13,259
21,Shadowverse: Worlds Beyond,9,242
22,Genshin Impact,30,236
23,Raft,1,228
24,Retro,9,220
25,Dragon Quest I & II HD-2D Remake,8,199
26,Tingus Goose,2,173
27,Eternal Return,5,173
28,SILENT HILL ƒ,4,165
29,Minecraft,30,161
30,Music,11,154
31,Monster Hunter Wilds,32,147
32,ASMR,14,145
33,Always On,5,142
34,Animal Crossing: New Horizons,3,140
35,"Animals, Aquariums, and Zoos",3,133
36,Resident Evil 4,4,133
37,Pokémon Legends: Z-A,32,121
38,Beautiful Katamari,1,116
39,Cloverpit,1,102
40,ARK: Survival Ascended,8,102
41,Dota 2,2,101
42,R.E.P.O.,10,99
43,Fortnite,30,97
44,Black Desert,10,88
45,Grand Theft Auto V,12,87
46,Jinro Metropolis,2,80
47,World of Tanks,4,75
48,Pogostuck: Rage With Your Friends,6,72
49,Zenless Zone Zero,5,72
50,Return to Shironagasu Island,1,69
