rank,name,streamers,viewers
1,League of Legends,137,18982
2,Escape from Tarkov,142,11572
3,Just Chatting,92,10168
4,Street Fighter 6,93,9789
5,VALORANT,275,4986
6,ARC Raiders,91,4121
7,Overwatch 2,118,2271
8,Apex Legends,353,2038
9,ELDEN RING NIGHTREIGN,61,1724
10,Teamfight Tactics,23,1708
11,Resident Evil 2,1,1683
12,Agreeee,3,1462
13,Blue Protocol: Star Resonance,114,1346
14,Art,41,946
15,Dead by Daylight,56,798
16,Black Desert,20,753
17,FINAL FANTASY XIV ONLINE,50,692
18,HANEHOLO!,1,562
19,IRL,7,482
20,Path of Exile 2,42,460
21,Retro,13,404
22,Mario Kart World,1,403
23,Monster Hunter Wilds,82,371
24,Lethal Dungeon,1,346
25,Mamon King,3,336
26,Tom Clancy's Rainbow Six Siege X,13,299
27,Shadowverse: Worlds Beyond,9,242
28,Music,6,227
29,Dark and Darker,5,193
30,"Animals, Aquariums, and Zoos",5,189
31,Honkai: Star Rail,16,181
32,Hearthstone,3,178
33,Bakery Cafe Simulator,1,177
34,Minecraft,31,169
35,Eternal Return,8,165
36,Genshin Impact,17,164
37,Rust,5,143
38,Grand Theft Auto V,23,142
39,Always On,4,140
40,Tom Clancy's The Division 2,5,140
41,Fortnite,34,134
42,Kirby Air Riders,5,125
43,Splatoon 3,16,122
44,Strinova,8,116
45,Armored Core VI: Fires of Rubicon,2,112
46,World of Tanks,4,106
47,Hunt: Showdown 1896,3,104
48,7 Days to Die,19,99
49,Resident Evil 4,2,94
50,Phoenix Wright: Ace Attorney - Dual Destinies,1,93
