rank,name,streamers,viewers
1,Agreeee,2,4469
2,Teamfight Tactics,18,2075
3,Escape from Tarkov,75,1998
4,League of Legends,49,1762
5,VALORANT,99,1378
6,Just Chatting,47,1304
7,Apex Legends,150,1204
8,Hearthstone,3,896
9,Street Fighter 6,36,849
10,Overwatch 2,45,642
11,DARK SOULS III,1,613
12,ARC Raiders,56,600
13,ASMR,15,560
14,Super Smash Bros. Ultimate,2,406
15,Dead by Daylight,42,401
16,FINAL FANTASY XIV ONLINE,28,399
17,IRL,3,368
18,Art,29,349
19,Path of Exile 2,13,325
20,Genshin Impact,24,259
21,Minecraft,16,258
22,Pogostuck: Rage With Your Friends,3,247
23,ELDEN RING NIGHTREIGN,19,206
24,Black Desert,3,178
25,Games + Demos,8,176
26,Dark and Darker,1,156
27,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,1,146
28,Shadowverse: Worlds Beyond,4,132
29,"Animals, Aquariums, and Zoos",5,125
30,Monster Hunter Wilds,10,121
31,Retro,9,118
32,Pokémon Legends: Z-A,14,109
33,Always On,3,109
34,Dragon Quest VI: Maboroshi no Daichi,1,105
35,RimWorld,3,95
36,Ninja 外伝 II: The Dark Sword of Chaos,1,90
37,Marvel Rivals,14,81
38,FINAL FANTASY X,1,79
39,World of Tanks,2,77
40,Animal Crossing: City Folk,1,76
41,OCTOPATH TRAVELER 0,7,70
42,Once Human,6,69
43,Beautiful Katamari,1,67
44,Zenless Zone Zero,1,66
45,TEKKEN 8,2,59
46,Splatoon 3,10,59
47,Call of Duty: Black Ops 7,8,57
48,DayZ,1,51
49,Rust,5,51
50,gogh: Focus with Your Avatar,4,49
