rank,name,streamers,viewers
1,League of Legends,99,27990
2,Just Chatting,80,6531
3,Escape from Tarkov,97,5019
4,ARC Raiders,70,2676
5,VALORANT,205,2300
6,Persona 5 Royal,4,2064
7,Monster Hunter Wilds,53,1853
8,Apex Legends,271,1507
9,Teamfight Tactics,26,1360
10,Street Fighter 6,49,1122
11,Hearthstone,2,1020
12,Overwatch 2,73,898
13,Blue Protocol: Star Resonance,40,852
14,FINAL FANTASY XIV ONLINE,41,528
15,Fire Emblem: Three Houses,1,458
16,Art,38,455
17,Dead by Daylight,52,423
18,PUBG: BATTLEGROUNDS,7,403
19,ELDEN RING NIGHTREIGN,32,299
20,Black Desert,8,299
21,Path of Exile 2,21,277
22,IRL,5,268
23,Always On,5,264
24,Tingus Goose,2,258
25,Dark and Darker,6,211
26,ASMR,12,211
27,World of Tanks,4,208
28,Shadowverse: Worlds Beyond,4,204
29,Dragon Quest I & II HD-2D Remake,10,199
30,Genshin Impact,14,183
31,Minecraft,28,173
32,Backpack Battles,3,165
33,7 Days to Die,7,160
34,"Animals, Aquariums, and Zoos",6,150
35,Honkai: Star Rail,9,138
36,Detroit: Become Human,2,130
37,Dragon Quest Builders 2,2,126
38,Grand Theft Auto V,17,124
39,Marvel Rivals,14,124
40,Hollow Knight,3,118
41,R.E.P.O.,10,106
42,Fortnite,22,101
43,SILENT HILL ƒ,3,100
44,Delta Force,14,99
45,Special Events,1,90
46,VRChat,2,89
47,The Legend of Zelda: The Wind Waker,1,88
48,Music,4,84
49,Super Mario World,1,77
50,Phoenix Wright: Ace Attorney - Dual Destinies,1,77
