rank,name,streamers,viewers
1,Mamon King,5,60122
2,Apex Legends,12,11838
3,Teamfight Tactics,6,9781
4,Just Chatting,11,9232
5,League of Legends,12,7763
6,ASMR,4,5080
7,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,4459
8,Minecraft,1,4168
9,ARC Raiders,6,3364
10,VALORANT,4,3209
11,Pokémon Legends: Z-A,3,2493
12,Mahou Shoujo no Majo Saiban,1,2197
13,ARK: Survival Ascended,1,2130
14,,4,1669
15,ELDEN RING NIGHTREIGN,1,1558
16,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,1508
17,Overwatch 2,2,1397
18,Shadowverse: Worlds Beyond,2,1177
19,Grand Theft Auto V,2,1102
20,Amagami,1,912
21,MIMESIS,3,823
22,Escape from Tarkov,4,718
23,EA Sports FC 26,2,568
24,Clair Obscur: Expedition 33,1,549
25,Stardew Valley,1,480
26, SEKIRO: SHADOWS DIE TWICE,1,429
27,Detroit: Become Human,1,426
28,Factorio,1,404
29,R.E.P.O.,1,225
30,Hearthstone,1,185
31,Dead by Daylight,1,170
32,Alice's World,1,165
