rank,name,streamers,viewers
1,Mamon King,4,8063
2,League of Legends,8,5294
3,VALORANT,8,4500
4,Pokémon Legends: Z-A,2,1389
5,Overwatch 2,7,885
6,Hearthstone,2,838
7,Just Chatting,5,760
8,ASMR,3,658
9,Escape from Tarkov,8,657
10,Street Fighter 6,3,386
11,ELDEN RING NIGHTREIGN,3,365
12,Teamfight Tactics,1,353
13,Apex Legends,3,344
14,ARC Raiders,4,325
15,Dead by Daylight,3,209
16,Hatsune Miku: Project DIVA Mega Mix+,1,192
17,Always On,3,189
18,Eternal Return,2,150
19,Shadowverse: Worlds Beyond,1,141
20,IRL,1,138
21,,1,137
22,"Animals, Aquariums, and Zoos",1,134
23,Jinro Metropolis,1,132
24,FINAL FANTASY XIV ONLINE,2,129
25,Music,1,118
26,Retro,1,116
27,DRAGON QUEST XI S: Echoes of an Elusive Age,1,109
28,ARK: Survival Ascended,2,105
29,World of Tanks,1,101
30,MapleStory,1,99
31,Art,1,94
32,Animal Crossing: New Horizons,1,92
33,Genshin Impact,1,87
34,Minecraft,1,83
35,Dark and Darker,1,76
36,Ōkami HD,1,66
37,Beautiful Katamari,1,60
38,Super Mario World,1,60
39,Resident Evil 4,1,60
40,Gwent: The Witcher Card Game,1,59
41,Mahjong Soul,1,59
42,The First Descendant,1,57
43,Warframe,1,50
44,Makers & Crafting,1,49
45,Vampire Survivors,1,48
46,かまいたちの夜×3,1,47
