rank,name,streamers,viewers
1,League of Legends,89,14193
2,Just Chatting,72,4871
3,ARC Raiders,76,4217
4,Street Fighter 6,42,2958
5,Escape from Tarkov,98,2355
6,VALORANT,161,2030
7,Blue Protocol: Star Resonance,160,1962
8,Teamfight Tactics,25,1739
9,Overwatch 2,64,1674
10,Apex Legends,253,1582
11,Monster Hunter Wilds,71,1574
12,FINAL FANTASY XIV ONLINE,52,573
13,Path of Exile 2,24,546
14,Art,37,517
15,Dead by Daylight,48,499
16,Grand Theft Auto V,22,437
17,Black Desert,19,430
18,IRL,6,319
19,ELDEN RING NIGHTREIGN,44,310
20,Honkai: Star Rail,16,279
21,Hearthstone,3,234
22,"Animals, Aquariums, and Zoos",5,191
23,Duolingo,2,191
24,Dark and Darker,3,168
25,Alien: Isolation,1,164
26,Genshin Impact,14,163
27,7 Days to Die,12,155
28,ASMR,16,148
29,Always On,5,141
30,The Legend of Zelda: A Link Between Worlds,1,135
31,Shadowverse: Worlds Beyond,3,133
32,Splatoon 3,12,121
33,Eternal Return,5,117
34,The Conveni 2 - Zenkoku Chain Tenkaida!,1,117
35,Fortnite,16,105
36,SILENT HILL ƒ,3,104
37,Minecraft,26,99
38,Retro,4,99
39,Linda³ Kanzenban,1,91
40,Super Mario World,1,83
41,VRChat,9,81
42,Pokémon Legends: Z-A,14,81
43,METAL GEAR SOLID Δ: SNAKE EATER,1,80
44,Beautiful Katamari,1,78
45,Tom Clancy's The Division 2,5,76
46,Marvel Rivals,5,71
47,Music,7,70
48,Stardew Valley,3,69
49,Warframe,15,69
50,Return to Shironagasu Island,1,63
