rank,id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
26,315247937395,177087100,tqmo__,たも__,491931,Escape from Tarkov,live,"【P4,Lv.55】プレステージ５。また始まる",150,2025-12-10T10:23:26Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_tqmo__-{width}x{height}.jpg,
27,315203189746,196691714,mihawk_ow,Mihawk_ow,515025,Overwatch 2,live,シーズン初めなのでDPSします,142,2025-12-10T17:00:51Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mihawk_ow-{width}x{height}.jpg,
28,315194251249,106154118,hitohira_hana,Hitohira_Hana,504502,Rhythm Doctor,live,chill nighto,139,2025-12-10T17:15:34Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hitohira_hana-{width}x{height}.jpg,
29,315194459761,473507231,kcal_bibo,カロリー,490147,Hollow Knight,live,こんばんは12月になりましたね【Hollow Knight】4日目,138,2025-12-10T18:50:35Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_kcal_bibo-{width}x{height}.jpg,
30,315194347249,1403395598,jyocho,jyocho,512864,Eternal Return,live,アドバイス欲しい！初心者ダルコの一般練習,136,2025-12-10T17:57:28Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_jyocho-{width}x{height}.jpg,
31,315203722866,1239620176,yamadamei_,山田めい,509659,ASMR,live,おはようの耳舐め💙じっくりねっとりいちゃ甘ご奉仕💙KU100/初見さん大歓迎/睡眠導入/ear cleaning/さみしがりやさんのための配信,133,2025-12-10T21:27:37Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yamadamei_-{width}x{height}.jpg,
32,315379428964,278916136,hope_yeager,Hope_Yeager,491487,Dead by Daylight,live,【DbD】サバでグラウンド10周する【JP/EN】,130,2025-12-10T16:50:56Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hope_yeager-{width}x{height}.jpg,
33,315203081586,423216742,p0pip0_,角森ぽぴぽ,489635,ARK: Survival Evolved,live,【ぽこ鯖🔰】捕まえたい恐竜たちがいるんだ,129,2025-12-10T16:18:02Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_p0pip0_-{width}x{height}.jpg,
34,315203523954,117357442,rikuruto1,りくるーと,21779,League of Legends,live,大抵の事はMSを誰よりも早くすれば全部解決する、思ってる50倍を目指すメイヘム,123,2025-12-10T19:37:37Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_rikuruto1-{width}x{height}.jpg,
35,315203108722,1329512522,yoyogi_sa,代々木さき,518184,Phasmophobia,live,ノリでインサニティやる【Phasmophobia】,112,2025-12-10T16:27:46Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yoyogi_sa-{width}x{height}.jpg,
36,315194117617,725675416,taripanda,たりぱんだ,982348888,ELDEN RING NIGHTREIGN,live,私立しろがね大学の学費をかせぐ バイトクルー募集【学者OTP/参加型】 // CheerNG,108,2025-12-10T16:18:42Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_taripanda-{width}x{height}.jpg,
37,315249767795,891876477,halloween193,イワークケーキ,2005329090,Jinro Metropolis,live,口先だけで村を征服するメトロポリス交渉術,105,2025-12-10T18:36:26Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_halloween193-{width}x{height}.jpg,
38,316470343898,407510247,japan_asmr,Japan_ASMR,499973,Always On,live,🔵【Japanese】❤️ 耳🌸め| 耳マッサージ | シャンプー  |  耳かき |  吐息  |  Whispering | Ear Cleaning | !wallpaper !commands,103,2025-12-09T06:58:54Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_japan_asmr-{width}x{height}.jpg,
39,315246530803,464480572,nukomaro2020,ぬこまろ,272263131,"Animals, Aquariums, and Zoos",live,癒しの「保護ねこ」ちゃんねる Sheltered Cats in Japan.,103,2025-12-10T01:41:15Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nukomaro2020-{width}x{height}.jpg,
40,315203701874,661458346,rinne_nya,輪廻です,509658,Just Chatting,live,おはようカウンター150っていけるもん？,99,2025-12-10T21:16:33Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_rinne_nya-{width}x{height}.jpg,
41,315202534770,1312705628,numanami_marona,沼波まろな,55453844,Street Fighter 6,live,【スト６】MR1200目指すぞ～＾＾【Cキャミィ】,97,2025-12-10T13:42:48Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_numanami_marona-{width}x{height}.jpg,
42,315203224690,1033352790,nyanmerrypop,nyanmerrypop,511224,Apex Legends,live,世界4位プレデターランクW/らいとくん みりむくん,95,2025-12-10T17:15:07Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nyanmerrypop-{width}x{height}.jpg,
43,316596586203,1155569167,satouanime,佐藤あにめ,464339927,ARC Raiders,live,平和に金策！遠征！初ワイプチャレンジ！セキュリティ突破で世界が変わった、の？！,94,2025-12-10T18:28:30Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_satouanime-{width}x{height}.jpg,
44,315248999155,1137118911,yuushakyousuke,勇者きょーすけ,499765,INAZUMA ELEVEN: Victory Road,live,【質問ok】白竜の理想個体を作るまで諦めない男,92,2025-12-10T13:59:38Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yuushakyousuke-{width}x{height}.jpg,
45,315194248433,899194655,hrhr_86,はるはら_,509660,Art,live,【JP/ENsub】お礼用絵作成とか３D | drawing thank-you illustration or 3D // 251210,87,2025-12-10T17:13:04Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hrhr_86-{width}x{height}.jpg,
46,315248316403,568029763,ciel0712,_シエル_,27284,Retro,live,【誕生日企画】クロックタワーGHOSTHEAD クリアするまで寝られない,86,2025-12-10T11:53:56Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_ciel0712-{width}x{height}.jpg,
47,315194082161,961801514,aane0623,あーね0,491931,Escape from Tarkov,live,PvE 参加型 臨時マイクなので聞きづらいかも,85,2025-12-10T16:03:10Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_aane0623-{width}x{height}.jpg,
48,315193160305,1294607124,manafromhell,フロムヘル,32502,World of Warships,live,【DropsON💛】【初見歓迎】【WOT】【WOWS】さぁ今日もトコトンやってくよ！,84,2025-12-10T12:28:57Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_manafromhell-{width}x{height}.jpg,
49,315202013938,77723982,obentou_yukari,おべんとうゆかり,491931,Escape from Tarkov,live,テストドライブ続続,83,2025-12-10T12:11:16Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_obentou_yukari-{width}x{height}.jpg,
50,315203615730,1297138495,ginno_pome,銀埜ぽむ,245885780,Mamon King,live,マモンキングやってみる,83,2025-12-10T20:29:31Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_ginno_pome-{width}x{height}.jpg,
51,315250045299,428562736,chappy916,chappy916,114524791,Shadowverse: Worlds Beyond,live,まだ治り切ってはないけどCR盛り盛り,81,2025-12-10T21:08:58Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_chappy916-{width}x{height}.jpg,
52,315202428658,548083196,k4n0n0212,観音です,138585,Hearthstone,live,【HS】10000000年ぶりのNA ガチランク,79,2025-12-10T13:21:15Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_k4n0n0212-{width}x{height}.jpg,
53,315203713394,803488607,gavom_k,gavom_k,511224,Apex Legends,live,平均睡眠時間12時間,79,2025-12-10T21:22:33Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_gavom_k-{width}x{height}.jpg,
54,315247758835,183025984,alexir_1,あれーくさ,19976,MapleStory,live,チャレ鯖スタートダッシュ部@うさぎ王国,77,2025-12-10T09:27:28Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_alexir_1-{width}x{height}.jpg,
55,315193250417,504007087,yasiro_ai,やしろあい,27471,Minecraft,live,リスナー参加型マイクラ,76,2025-12-10T12:45:53Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yasiro_ai-{width}x{height}.jpg,
56,315193510897,169334745,masamasa_64,マサマサ_,467024621,Ōkami HD,live,【初見プレイ】大神 絶景版 first playthrough! #2 ネタバレあり,73,2025-12-10T13:33:38Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_masamasa_64-{width}x{height}.jpg,
57,315203036402,426846039,mayuko7s,Mayuko7s,27284,Retro,live,☪️💠今日クリあって欲しいサガフロ[PS┆29┆7キャラ目┆アセルス編] サガシリーズ初プレイ !!┆!news┆ @mayuko7s 🤍,71,2025-12-10T15:58:52Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mayuko7s-{width}x{height}.jpg,
58,315194711025,816976841,cag_fenritti,CAG_FENRITTI,982348888,ELDEN RING NIGHTREIGN,live,ほんすこELDEN RING NIGHTREIGN！ビッツ、スパチャ禁止！34,70,2025-12-10T21:03:27Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_cag_fenritti-{width}x{height}.jpg,
