rank,name,streamers,viewers
1,League of Legends,84,10763
2,Just Chatting,79,2918
3,Persona 5 Royal,1,2274
4,VALORANT,150,1948
5,ARC Raiders,44,1833
6,Escape from Tarkov,88,1722
7,Apex Legends,193,1313
8,Teamfight Tactics,19,1231
9,Street Fighter 6,46,974
10,Hearthstone,3,973
11,ASMR,15,682
12,Overwatch 2,45,625
13,FINAL FANTASY XIV ONLINE,33,597
14,Blue Protocol: Star Resonance,28,550
15,Dead by Daylight,42,378
16,Splatoon 3,6,277
17,ELDEN RING NIGHTREIGN,17,267
18,Minecraft,27,265
19,IRL,6,263
20,Monster Hunter Wilds,46,250
21,Always On,5,234
22,PUBG: BATTLEGROUNDS,1,233
23,Black Desert,3,230
24,Art,23,219
25,Retro,6,217
26,Backpack Battles,2,180
27,"Animals, Aquariums, and Zoos",6,145
28,Super Smash Bros. Ultimate,3,144
29,Shadowverse: Worlds Beyond,5,131
30,Animal Crossing: New Horizons,5,118
31,7 Days to Die,5,115
32,Frostpunk,2,114
33,Mahjong Soul,6,113
34,Genshin Impact,21,109
35,Agreeee,1,105
36,Fortnite,23,105
37,Honkai: Star Rail,7,105
38,Zenless Zone Zero,10,100
39,Celeste,1,98
40,Dark and Darker,2,97
41,DRAGON QUEST XI S: Echoes of an Elusive Age,2,96
42,Dragon Quest Builders 2,2,96
43,Marvel Rivals,9,95
44,Hollow Knight,3,93
45,Dota 2,4,91
46,Japan Stigmatized Property,3,91
47,The Legend of Zelda: The Wind Waker,1,87
48,Dragon Quest I & II HD-2D Remake,5,83
49,Diablo IV,4,76
50,FINAL FANTASY X,1,75
