rank,name,streamers,viewers
1,Street Fighter 6,341,59451
2,Just Chatting,113,5833
3,Call of Duty: Black Ops 7,14,5488
4,Teamfight Tactics,32,4225
5,Escape from Tarkov,151,3770
6,League of Legends,88,2928
7,Apex Legends,311,2154
8,VALORANT,211,1770
9,ARC Raiders,71,1642
10,Overwatch 2,76,931
11,FINAL FANTASY XIV ONLINE,55,888
12,Blue Protocol: Star Resonance,49,780
13,Path of Exile 2,30,585
14,Dead by Daylight,64,540
15,Monster Hunter Wilds,87,501
16,Black Desert,14,441
17,Amagami,16,429
18,Rust,26,382
19,Dark and Darker,7,351
20,Art,19,327
21,IRL,5,307
22,ELDEN RING NIGHTREIGN,32,301
23,Dark Souls: Remastered,3,255
24,FINAL FANTASY X,2,254
25,Super Smash Bros. Ultimate,4,245
26,Stardew Valley,3,203
27,World of Tanks,6,166
28,Always On,4,164
29,Genshin Impact,22,161
30,Dragon Quest I & II HD-2D Remake,5,157
31,Retro,6,153
32,Fortnite,35,150
33,Tom Clancy's The Division 2,7,142
34,"Animals, Aquariums, and Zoos",2,139
35,VRChat,8,139
36,SILENT HILL ƒ,4,124
37,Zenless Zone Zero,10,121
38,Grand Theft Auto V,25,121
39,Manor Lords,1,113
40,Paper Trail,1,108
41,Mario Kart World,4,107
42,Beat Saber,6,106
43,World of Warships,2,101
44,Metaphor: ReFantazio,2,101
45,ARK: Survival Ascended,14,100
46,Elin,1,96
47,Minecraft,26,92
48,Dragon Ball: The Breakers,2,87
49,ASMR,12,79
50,7 Days to Die,9,77
