rank,name,streamers,viewers
1,Escape from Tarkov,83,10877
2,League of Legends,67,3071
3,VALORANT,136,2767
4,Apex Legends,253,2690
5,ARC Raiders,67,2400
6,ELDEN RING NIGHTREIGN,19,1634
7,ASMR,20,1191
8,FINAL FANTASY XIV ONLINE,58,1088
9,Clair Obscur: Expedition 33,3,789
10,Just Chatting,56,775
11,Overwatch 2,47,635
12,Hearthstone,2,633
13,OCTOPATH TRAVELER 0,6,558
14,SILENT HILL ƒ,3,510
15,Monster Hunter Wilds,50,479
16,Rhythm Doctor,1,415
17,Raft,2,410
18,Street Fighter 6,21,409
19,Art,19,381
20,Teamfight Tactics,13,276
21,Music,3,240
22,Always On,5,235
23,Black Desert,2,210
24,Pokémon Legends: Z-A,13,199
25,Dead by Daylight,24,173
26,Dark Souls: Remastered,3,158
27,"Animals, Aquariums, and Zoos",4,155
28,FINAL FANTASY VIII Remastered,1,128
29,Minecraft,24,118
30,World of Tanks,2,112
31,Retro,2,110
32,Wuthering Waves,5,109
33,PokéPark 2: Wonders Beyond,1,107
34,Special Events,1,104
35,Shadowverse: Worlds Beyond,6,104
36,Tom Clancy's The Division 2,3,101
37,Strinova,2,100
38,Marvel Rivals,10,98
39,Mahou Shoujo no Majo Saiban,3,97
40,EA Sports FC 26,1,89
41,Kirby Air Riders,1,84
42,R.E.P.O.,10,77
43,ZAKO NO AHIRU,2,76
44,Path of Exile 2,9,61
45, SEKIRO: SHADOWS DIE TWICE,4,57
46,Zenless Zone Zero,3,57
47,Mahjong Soul,2,54
48,DayZ,6,54
49,Genshin Impact,14,53
50,Palworld,4,50
