rank,name,streamers,viewers
1,Street Fighter 6,87,12400
2,Escape from Tarkov,158,12352
3,VALORANT,244,10035
4,Just Chatting,107,9441
5,League of Legends,114,8684
6,ARC Raiders,82,5406
7,Legends of Runeterra,1,3590
8,FINAL FANTASY XIV ONLINE,13,3056
9,Apex Legends,320,2483
10,Eternal Return,7,1817
11,Monster Hunter Wilds,259,1400
12,Overwatch 2,116,1342
13,Hearthstone,4,959
14,Dead by Daylight,65,860
15,Teamfight Tactics,29,775
16,Mario Kart World,4,726
17,Art,40,674
18,Black Desert,11,636
19,Path of Exile 2,29,573
20,The Sushi House,1,545
21,ELDEN RING NIGHTREIGN,41,411
22,Genshin Impact,45,382
23,7 Days to Die,15,362
24,Retro,13,323
25,IRL,5,314
26,SILENT HILL ƒ,5,257
27,Jinro Metropolis,2,256
28,Tom Clancy's Rainbow Six Siege X,20,251
29,ASMR,16,248
30,World of Tanks,7,246
31,Pokémon Legends: Z-A,34,220
32,Shadowverse: Worlds Beyond,7,208
33,Minecraft,40,207
34,Super Smash Bros. Ultimate,6,194
35,"Animals, Aquariums, and Zoos",6,186
36,Backpack Battles,2,167
37,Music,8,159
38,Super Mario 64,1,157
39,Dark and Darker,5,150
40,Terminator 2D: NO FATE,1,145
41,Marvel Rivals,10,128
42,Fortnite,33,123
43,Delta Force,13,122
44,Food & Drink,3,113
45,Resident Evil 4,3,113
46,Romancing SaGa,1,108
47,OCTOPATH TRAVELER 0,7,85
48,Where Winds Meet,8,81
49,Rust,6,80
50,Hogwarts Legacy,23,76
