rank,name,game_id,streamers,viewers
1,Just Chatting,509658,500,162939
2,League of Legends,21779,500,80465
3,Dota 2,29595,500,46489
4,Escape from Tarkov,491931,500,37911
5,Counter-Strike,32399,500,35491
6,ARC Raiders,464339927,500,34399
7,Rust,263490,185,33586
8,Minecraft,27471,500,32163
9,Grand Theft Auto V,32982,500,27436
10,Teamfight Tactics,513143,369,28287
11,I'm Only Sleeping,498592,273,28002
12,World of Warcraft,18122,477,24619
13,Overwatch 2,515025,500,23354
14,VALORANT,516575,500,19451
15,Dead by Daylight,491487,500,19582
16,Fortnite,33214,500,17633
17,IRL,509672,367,19143
18,Virtual Casino,29452,27,17385
19,Arena Breakout: Infinite,401587136,193,16143
20,Always On,499973,264,15130
21,PUBG: BATTLEGROUNDS,493057,292,12729
22,Pokémon Legends: Z-A,997367275,500,11449
23,Hearthstone,138585,98,10797
24,World of Tanks,27546,152,10637
25,Baldur's Gate 3,512923,64,10294
26,Call of Duty: Warzone,512710,500,9724
27,Agreeee,167365321,2,9900
28,ELDEN RING NIGHTREIGN,982348888,234,8392
29,Sports,518203,73,9467
30,Art,509660,435,8910
31,Marvel Rivals,1264310518,500,8574
32,Apex Legends,511224,500,8088
33,EA Sports FC 26,624536948,365,8267
34,ASMR,509659,128,8346
35,Street Fighter 6,55453844,173,7972
36,FINAL FANTASY XIV ONLINE,24241,385,7466
37,Path of Exile 2,1702520304,70,7139
38,Music,26936,432,7047
39,Genshin Impact,513181,320,5857
40,Slots,498566,49,7538
41,Battlefield REDSEC,1848745913,119,7165
42,Warframe,66170,160,6850
43,Call of Duty: Black Ops 7,2012789438,466,5678
44,Albion Online,417528,59,5070
45,Chess,743,39,5586
46,Retro,27284,162,4929
47,Where Winds Meet,1630982727,92,5462
48,ELDEN RING,512953,167,4901
49,Legend of YMIR,889298168,77,4448
50,Palia,982017546,93,4349
