rank,name,streamers,viewers
1,Escape from Tarkov,78,2904
2,Just Chatting,60,2416
3,Teamfight Tactics,17,2409
4,League of Legends,57,1799
5,Apex Legends,136,1374
6,DIGIMON STORY: TIME STRANGER,1,1163
7,ASMR,15,845
8,VALORANT,106,844
9,Overwatch 2,54,649
10,Monster Hunter Wilds,42,574
11,Hearthstone,5,540
12,Blue Protocol: Star Resonance,26,477
13,ELDEN RING NIGHTREIGN,38,450
14,Path of Exile 2,17,425
15,ARC Raiders,42,415
16,FINAL FANTASY XIV ONLINE,26,413
17,FINAL FANTASY TACTICS - The Ivalice Chronicles,1,406
18,Rust,17,374
19,Dead by Daylight,31,308
20,Street Fighter 6,40,280
21,Art,21,264
22,Black Desert,5,249
23,Wuthering Waves,10,220
24,Always On,4,176
25,Backpack Battles,1,175
26,IRL,6,173
27,Shadowverse: Worlds Beyond,11,172
28,Dark and Darker,4,161
29,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,161
30,Mamon King,5,154
31,"Animals, Aquariums, and Zoos",6,152
32,World of Tanks,5,120
33,Genshin Impact,23,114
34,Honkai: Star Rail,5,107
35,Metaphor: ReFantazio,2,105
36,Retro,7,103
37,Amagami,12,92
38,Minecraft,15,91
39,Splatoon 3,9,88
40,Elin,2,87
41,ARK: Survival Ascended,12,83
42,Gregory Horror Show,1,73
43,Dragon Quest III HD-2D Remake,1,72
44,OCTOPATH TRAVELER 0,6,70
45,Sakuna: Of Rice and Ruin,1,69
46,Zenless Zone Zero,7,66
47,Music,5,65
48,Marvel Rivals,5,65
49,MapleStory,3,62
50,Phoenix Wright: Ace Attorney Trilogy,1,61
