rank,name,streamers,viewers
1,Escape from Tarkov,74,9787
2,Street Fighter 6,32,1917
3,ARC Raiders,50,1292
4,Just Chatting,69,1132
5,Blue Protocol: Star Resonance,22,938
6,VALORANT,75,850
7,Apex Legends,84,779
8,League of Legends,37,704
9,Alchemy Factory,3,638
10,SUPER GHOULS'N GHOSTS,2,524
11,ELDEN RING NIGHTREIGN,20,434
12,Overwatch 2,29,427
13,ASMR,16,359
14,Lies of P,1,323
15,Monster Hunter Wilds,30,285
16,Raft,2,270
17,FINAL FANTASY XIV ONLINE,17,260
18,Hearthstone,2,251
19,Always On,4,240
20,Black Desert,3,227
21,Art,17,225
22,Shadowverse: Worlds Beyond,4,219
23,IRL,5,198
24,beatmania IIDX INFINITAS,2,197
25,Teamfight Tactics,17,191
26,Dead by Daylight,15,157
27,"Animals, Aquariums, and Zoos",3,155
28,Minecraft,24,154
29,Albion Online,1,133
30,Honkai: Star Rail,6,131
31,INAZUMA ELEVEN: Victory Road,5,122
32,ARK: Survival Ascended,2,120
33,Path of Exile 2,11,111
34,The Legend of Zelda: The Wind Waker,1,104
35,Backpack Battles,1,100
36,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,1,98
37,Exoprimal,1,97
38,Suika Game Planet,2,89
39,The Case of the Golden Idol,1,79
40,Steam,1,78
41,Rust,12,74
42,Genshin Impact,11,66
43,Dark and Darker,1,59
44,Dragon Quest I & II HD-2D Remake,5,58
45,Beat Saber,1,52
46,OCTOPATH TRAVELER 0,5,48
47,PowerWash Simulator,1,47
48,Splatoon 3,7,44
49,Baby Steps,1,44
50,ELDEN RING,3,40
