rank,name,streamers,viewers
1,Mamon King,5,76094
2,,2,21809
3,League of Legends,18,17575
4,Escape from Tarkov,4,11524
5,ARC Raiders,10,4929
6,Dead by Daylight,3,4348
7,Street Fighter 6,4,4110
8,Pokémon Legends: Z-A,4,3716
9,Just Chatting,5,3253
10,VALORANT,4,2460
11,ELDEN RING NIGHTREIGN,3,1715
12,Platform 6 Online,3,1705
13,Teamfight Tactics,3,1550
14,Minecraft,2,1122
15,ASMR,2,999
16,Resident Evil Zero,1,924
17,Black Desert,2,909
18,Shadowverse: Worlds Beyond,2,867
19,Parking Together!,1,775
20,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,726
21,Leaf it Alone,1,698
22,Overwatch 2,2,612
23,Hearthstone,1,512
24,ARK: Survival Ascended,1,435
25,Apex Legends,1,363
26,Dragon Quest I & II HD-2D Remake,1,350
27,Eternal Return,1,348
28,SILENT HILL ƒ,1,343
29,"Yes, My Queen",1,247
30,Restaurats,1,244
31,DJs,1,242
32,Heavy Rain,1,234
33,Japan Stigmatized Property,1,222
34,I'm on Observation Duty 8,1,197
35,Hyrule Warriors: Age of Imprisonment,1,193
36,Grand Theft Auto V,1,192
37,Super Smash Bros. Ultimate,1,189
