rank,name,streamers,viewers
1,League of Legends,79,57797
2,Just Chatting,89,26336
3,Escape from Tarkov,146,13377
4,Microsoft Flight Simulator 2024,3,5852
5,Street Fighter 6,77,4623
6,ARC Raiders,123,3346
7,VALORANT,257,3171
8,Apex Legends,367,2710
9,Overwatch 2,127,1578
10,Agreeee,3,1201
11,Teamfight Tactics,26,1181
12,Art,50,993
13,Fire Emblem: Three Houses,2,762
14,Hearthstone,6,609
15,Blue Protocol: Star Resonance,32,599
16,Eternal Return,9,564
17,Stardew Valley,3,498
18,Black Desert,6,481
19,Path of Exile 2,26,392
20,ELDEN RING NIGHTREIGN,35,381
21,FINAL FANTASY XIV ONLINE,40,367
22,Monster Hunter Wilds,75,356
23,Dead by Daylight,34,341
24,Don't Starve Together,2,305
25,World of Tanks,7,297
26,Shadowverse: Worlds Beyond,5,262
27,Retro,12,259
28,Dragon Quest Builders 2,5,199
29,Minecraft,35,195
30,7 Days to Die,17,180
31,Genshin Impact,22,175
32,IRL,3,168
33,Always On,4,156
34,Fortnite,47,154
35,Dark and Darker,3,149
36,"Animals, Aquariums, and Zoos",4,143
37,2XKO,3,133
38,Cloverpit,1,130
39,ARK: Survival Ascended,9,130
40,Tom Clancy's Rainbow Six Siege X,14,129
41,Rust,12,127
42,Momotaro Dentetsu World: Chikyuu ha Kibou de Mawatteru!,4,123
43,ASMR,16,120
44,The Legend of Zelda: The Wind Waker,1,106
45,Marvel Rivals,15,103
46,Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island,5,103
47,Food & Drink,3,102
48,Hunt: Showdown 1896,1,98
49,Escape from Duckov,8,97
50,UNKO TECHNICA,1,95
