rank,name,streamers,viewers
1,Escape from Tarkov,139,9176
2,ELDEN RING NIGHTREIGN,47,7797
3,Street Fighter 6,65,6097
4,Mamon King,4,4412
5,ARC Raiders,78,4184
6,VALORANT,236,3333
7,Just Chatting,109,2991
8,League of Legends,102,2783
9,Jinro Metropolis,1,2517
10,Apex Legends,318,1884
11,Overwatch 2,113,1835
12,ASMR,16,1541
13,Retro,5,1218
14,Teamfight Tactics,29,1198
15,Dead by Daylight,79,1033
16,Suika Game,1,919
17,Clair Obscur: Expedition 33,1,885
18,FINAL FANTASY XIV ONLINE,45,810
19,Grand Theft Auto V,89,759
20,ARK: Survival Ascended,12,703
21,Pokémon Legends: Z-A,35,670
22,Art,25,662
23,OCTOPATH TRAVELER 0,9,656
24,EA Sports FC 26,3,520
25,Path of Exile 2,29,372
26,VRChat,6,368
27,Super Smash Bros. Ultimate,5,363
28,Black Desert,9,333
29,Minecraft,53,302
30,Shadowverse: Worlds Beyond,12,272
31,Rust,13,245
32,Splatoon 3,24,233
33,Dark and Darker,5,231
34,MIMESIS,6,191
35,Hearthstone,3,175
36,Eternal Return,5,169
37,Monster Hunter Wilds,41,161
38,Games + Demos,19,155
39,Escape from Duckov,12,155
40,Fushigi no Dungeon: Fuurai no Shiren 2 - Oni Shuurai! Shiren-jou!,1,154
41,"Animals, Aquariums, and Zoos",4,151
42,Street Fighter V,1,151
43,Genshin Impact,28,138
44,Strinova,11,138
45,Honkai: Star Rail,9,123
46,R.E.P.O.,14,123
47,Kirby Air Riders,3,102
48,Delta Force,17,98
49,Deadcam,1,95
50,Fortnite,30,94
