rank,name,streamers,viewers
1,League of Legends,137,19587
2,Escape from Tarkov,146,13453
3,Street Fighter 6,100,12163
4,Dragon Quest Monsters: Terry no Wonderland SP,1,8075
5,VALORANT,263,6523
6,Just Chatting,101,3492
7,ARC Raiders,86,2957
8,Resident Evil 2,1,2612
9,Overwatch 2,114,2430
10,ELDEN RING NIGHTREIGN,54,2108
11,Apex Legends,321,1925
12,Agreeee,5,1887
13,Teamfight Tactics,23,1684
14,Blue Protocol: Star Resonance,111,1324
15,Black Desert,21,946
16,Special Events,1,887
17,ROBLOX,1,862
18,Art,44,861
19,Dead by Daylight,48,830
20,FINAL FANTASY XIV ONLINE,55,726
21,IRL,5,719
22,Mario Kart World,3,527
23,Backpack Battles,3,516
24,Monster Hunter Wilds,102,437
25,Retro,12,430
26,Path of Exile 2,30,405
27,Music,11,338
28,Bakery Cafe Simulator,1,310
29,Japan Stigmatized Property,7,307
30,Mamon King,5,307
31,Jinro Metropolis,4,277
32,Pokémon Legends: Z-A,23,277
33,Shadowverse: Worlds Beyond,10,226
34,Eternal Return,11,220
35,Grand Theft Auto V,34,207
36,Minecraft,33,193
37,"Animals, Aquariums, and Zoos",4,192
38,osu!,9,188
39,Hearthstone,2,179
40,Rust,5,170
41,Suika Game,2,165
42,Marvel Rivals,13,163
43,ASMR,12,151
44,World of Tanks,6,150
45,Tom Clancy's The Division 2,3,147
46,Always On,4,138
47,METAL GEAR SOLID Δ: SNAKE EATER,1,116
48,Strinova,11,109
49,Resident Evil 4,3,101
50,Yakuza 0,1,93
