rank,name,streamers,viewers
1,Escape from Tarkov,73,2158
2,ARC Raiders,50,2118
3,League of Legends,48,2066
4,Apex Legends,206,1675
5,ELDEN RING NIGHTREIGN,18,1554
6,VALORANT,90,1223
7,ASMR,18,1104
8,Mamon King,3,1074
9,Clair Obscur: Expedition 33,1,893
10,Just Chatting,53,626
11,FINAL FANTASY XIV ONLINE,47,603
12,Street Fighter 6,23,568
13,SILENT HILL ƒ,1,520
14,Hearthstone,2,504
15,Monster Hunter Wilds,42,470
16,Rhythm Doctor,1,435
17,Teamfight Tactics,12,375
18,Raft,1,372
19,Overwatch 2,40,356
20,Music,3,285
21,Art,17,269
22,Dead by Daylight,21,208
23,Always On,4,183
24,Kirby Air Riders,2,165
25,Pokémon Legends: Z-A,7,162
26,"Animals, Aquariums, and Zoos",4,157
27,FINAL FANTASY VIII Remastered,1,139
28,World of Tanks,3,135
29,Dark Souls: Remastered,1,132
30,Tom Clancy's The Division 2,3,129
31,Wuthering Waves,3,121
32,Marvel Rivals,11,110
33,Retro,3,109
34,PokéPark 2: Wonders Beyond,1,104
35,Strinova,3,102
36,Special Events,1,90
37,R.E.P.O.,11,83
38,Minecraft,21,82
39,Path of Exile 2,7,77
40,Shadowverse: Worlds Beyond,5,75
41,ZAKO NO AHIRU,1,74
42,DayZ,5,63
43, SEKIRO: SHADOWS DIE TWICE,4,56
44,Mahou Shoujo no Majo Saiban,2,54
45,Mahjong Soul,1,52
46,Vampire Survivors,1,49
47,Palworld,3,44
48,Rust,6,41
49,Dark and Darker,3,40
50,Genshin Impact,11,39
