rank,name,streamers,viewers
1,Just Chatting,9,7527
2,Escape from Tarkov,6,5724
3,League of Legends,7,5056
4,Mamon King,3,3279
5,VALORANT,7,3025
6,Pokémon Legends: Z-A,3,1536
7,IRL,2,1055
8,Agreeee,1,1005
9,Overwatch 2,5,828
10,Hearthstone,1,823
11,Tom Clancy's Rainbow Six Siege X,2,692
12,ARC Raiders,5,591
13,ASMR,2,537
14,GODDESS OF VICTORY: NIKKE,1,528
15,Mario Kart World,1,446
16,Teamfight Tactics,1,409
17,Street Fighter 6,4,348
18,Cookie Clicker,1,285
19,,1,284
20,Apex Legends,2,271
21,Dead by Daylight,3,229
22,Bits & Bops,1,195
23,World of Tanks,1,173
24,Retro,1,170
25,ELDEN RING NIGHTREIGN,1,165
26,Genshin Impact,2,156
27,Mahjong Soul,1,141
28,Dark and Darker,1,139
29,Always On,2,137
30,Jinro Metropolis,1,132
31,MapleStory,1,122
32,"Animals, Aquariums, and Zoos",1,119
33,The Legend of Zelda: Skyward Sword,1,117
34,Special Events,1,116
35,Albion Online,1,112
36,DARK SOULS III,1,109
37,Shadowverse: Worlds Beyond,1,104
38,Animal Crossing: New Horizons,1,97
39,Minecraft,1,97
40,Art,1,90
41,Beautiful Katamari,1,87
42,Diablo II,1,76
43,ARK: Survival Ascended,1,74
44,Bat to the Heavens,1,65
45,The First Descendant,1,63
46,Super Mario World,1,57
47,Makers & Crafting,1,56
48,Tingus Goose,1,55
49,FINAL FANTASY XIV ONLINE,1,50
