rank,name,streamers,viewers
1,Just Chatting,98,13872
2,Street Fighter 6,19,3671
3,ARC Raiders,70,3082
4,Sports,1,2924
5,VALORANT,156,2785
6,Escape from Tarkov,100,2596
7,League of Legends,94,2390
8,Monster Hunter Wilds,112,1722
9,Apex Legends,228,1396
10,Hearthstone,2,1023
11,Overwatch 2,70,986
12,Teamfight Tactics,24,818
13,Dead by Daylight,69,661
14,FINAL FANTASY XIV ONLINE,29,572
15,Mario Kart World,3,546
16,ASMR,17,509
17,Path of Exile 2,27,457
18,IRL,6,413
19,Genshin Impact,17,384
20,Tom Clancy's Rainbow Six Siege X,5,270
21,Shadowverse: Worlds Beyond,7,268
22,Art,32,254
23,and Roger,1,243
24,Grand Theft Auto V,17,235
25,World of Tanks,1,216
26,Black Desert,4,203
27,Dark and Darker,2,190
28,ELDEN RING NIGHTREIGN,21,166
29,Throne and Liberty,3,136
30,Fortnite,23,136
31,Honkai: Star Rail,10,132
32,Ninja 外伝 II: The Dark Sword of Chaos,1,125
33,OCTOPATH TRAVELER 0,6,117
34,Hollow Knight,1,114
35,Retro,5,109
36,Dragon Quest VI: Maboroshi no Daichi,2,106
37,Alien: Isolation,1,106
38,Special Events,2,104
39,"Animals, Aquariums, and Zoos",6,101
40,Splatoon 3,10,100
41,Marvel Rivals,5,99
42,Beautiful Katamari,1,98
43,Deduce Together,1,91
44,SILENT HILL ƒ,3,87
45,Minecraft,24,82
46,Eternal Return,7,80
47,Once Human,4,75
48,DRAGON QUEST XI S: Echoes of an Elusive Age,1,73
49,Zenless Zone Zero,9,72
50,Always On,3,69
