rank,name,streamers,viewers
1,Just Chatting,171,33423
2,Escape from Tarkov,107,21281
3,VALORANT,197,12972
4,ARC Raiders,94,11649
5,Street Fighter 6,94,9101
6,Overwatch 2,120,8046
7,R.E.P.O.,34,6253
8,ASMR,16,5058
9,Apex Legends,227,4893
10,Suika Game Planet,4,3675
11,Dragon Quest I & II HD-2D Remake,11,3352
12,League of Legends,116,3096
13,Art,30,2975
14,ELDEN RING NIGHTREIGN,41,2906
15,MIMESIS,24,2276
16,Dead by Daylight,82,2063
17,FINAL FANTASY XIV ONLINE,78,1482
18,Amagami,4,1355
19,Black Desert,12,1294
20,Blue Protocol: Star Resonance,38,1123
21,Path of Exile 2,13,1086
22,Minecraft,45,1079
23,Agreeee,4,1033
24,Grand Theft Auto V,33,1020
25,Teamfight Tactics,15,876
26,Yu-Gi-Oh! Master Duel,2,826
27,Monster Hunter Wilds,73,818
28,Shenmue III,1,742
29,Voice Mimicry Show,2,734
30,Rust,19,593
31,Alchemy Factory,1,591
32,Super Smash Bros. Ultimate,13,584
33,EA Sports FC 26,6,549
34,Shadowverse: Worlds Beyond,10,504
35,Splatoon 3,28,491
36,Little Nightmares,1,487
37,Raft,3,459
38,TEKKEN 8,4,434
39,Magic: The Gathering,3,429
40,ARK: Survival Ascended,14,400
41,Fortnite,18,399
42,Genshin Impact,21,398
43,Pokémon Legends: Z-A,20,381
44,Marvel Rivals,25,370
45,Hearthstone,2,315
46,DJs,10,303
47,Yakuza 0,1,269
48,Retro,10,267
49,No Man's Sky,3,248
50,Special Events,10,248
