rank,name,streamers,viewers
1,League of Legends,124,17364
2,Street Fighter 6,66,7688
3,Escape from Tarkov,117,7302
4,ARC Raiders,95,4336
5,Just Chatting,104,4242
6,VALORANT,246,2473
7,Overwatch 2,95,2061
8,Monster Hunter Wilds,75,1696
9,Apex Legends,342,1676
10,Teamfight Tactics,25,1617
11,Blue Protocol: Star Resonance,152,1501
12,ELDEN RING NIGHTREIGN,58,1312
13,Minecraft,35,856
14,Art,43,710
15,HANEHOLO!,1,706
16,FINAL FANTASY XIV ONLINE,51,668
17,Black Desert,21,637
18,Mario Kart World,1,463
19,Path of Exile 2,37,459
20,Dead by Daylight,48,439
21,MIMESIS,6,427
22,Pokémon Legends: Z-A,26,340
23,IRL,5,339
24,Grand Theft Auto V,28,327
25,Dark and Darker,7,270
26,Japan Stigmatized Property,7,236
27,Genshin Impact,22,225
28,7 Days to Die,10,170
29,Honkai: Star Rail,16,165
30,Eternal Return,9,152
31,"Animals, Aquariums, and Zoos",5,147
32,Hearthstone,1,141
33,Always On,5,141
34,Armored Core VI: Fires of Rubicon,1,133
35,Retro,4,123
36,ASMR,14,112
37,Kirby Air Riders,4,108
38,Fortnite,31,103
39,Tom Clancy's The Division 2,6,102
40,Call of Duty: Black Ops 7,13,98
41,Phoenix Wright: Ace Attorney - Dual Destinies,1,98
42,METAL GEAR SOLID Δ: SNAKE EATER,1,98
43,Mosaic of the Pharaohs,1,91
44,SILENT HILL ƒ,4,88
45,Rust,8,86
46,Shadowverse: Worlds Beyond,4,85
47,Turnbound,1,82
48,Music,4,81
49,BLUE PROTOCOL,31,79
50,R.E.P.O.,10,76
