rank,name,streamers,viewers
1,Just Chatting,117,43298
2,Street Fighter 6,88,22625
3,Deviation Game,1,21027
4,Escape from Tarkov,138,17830
5,League of Legends,166,14804
6,Dragon Quest Monsters: Terry no Wonderland SP,1,10377
7,VALORANT,216,6028
8,MIMESIS,7,5428
9,Path of Exile 2,42,5334
10,Overwatch 2,140,4938
11,Inazuma Eleven GO: Chrono Stones - Thunderflash,1,4529
12,Retro,14,2924
13,Apex Legends,264,2906
14,Dead by Daylight,77,1766
15,Eternal Return,8,1745
16,Alchemy Factory,7,1705
17,ARC Raiders,81,1631
18,Mamon King,13,1592
19,PUBG: BATTLEGROUNDS,60,1118
20,Black Desert,19,1045
21,Teamfight Tactics,26,943
22,Mario Kart World,1,728
23,ELDEN RING NIGHTREIGN,47,711
24,Momotaro Dentetsu 2: Anata no Machi mo Kitto aru,3,684
25,Art,36,677
26,Pokémon Legends: Z-A,36,647
27,Atelier Rorona: The Alchemist of Arland,1,625
28,ASMR,9,617
29,FINAL FANTASY XIV ONLINE,38,593
30,Special Events,5,504
31,Grand Theft Auto V,38,490
32,Fortnite,35,410
33,Tom Clancy's Rainbow Six Siege X,13,381
34,Super Smash Bros. Ultimate,7,373
35,IRL,3,354
36,DJs,2,341
37,Minecraft,52,335
38,Shadowverse: Worlds Beyond,10,300
39,Agreeee,2,296
40,R.E.P.O.,26,291
41,Rust,22,287
42,Dark and Darker,3,277
43,Karaoke Joysound for Streamer,1,272
44,Splatoon 3,28,235
45,Delta Force,11,234
46,Monster Hunter Wilds,40,231
47,Hearthstone,4,230
48,Wuthering Waves,20,222
49,Pokémon UNITE,3,222
50,Genshin Impact,26,215
